Job ID: 27788185
Node:   spartan-gpgpu171
GPU:    0
GPU 0: NVIDIA H100 80GB HBM3 (UUID: GPU-70ecc709-6022-7e09-50b0-e2070472848f)
cuda: True NVIDIA H100 80GB HBM3
Start:  Tue 21 Jul 2026 18:05:03 AEST
device=cuda, model=conductance, nofruns=1, nofsteps=1000, lrs=[0.1], nparams=112, fname=training_with_Ih.npy, outdir=/home/yitai/drosophila_vision/temporal_filtering/SimulationCode/0trained/conductance/27788185-train-target-spot-syn-strength-fixed-all-network-right_min_neuron1_extent3

round 0

step 189: cost=166.4836  [spot_bright=103.5853  spot_dark=62.8983]
step 190: cost=166.6113  [spot_bright=103.5929  spot_dark=63.0184]
step 191: cost=166.7775  [spot_bright=103.6152  spot_dark=63.1624]
step 192: cost=166.8972  [spot_bright=103.6145  spot_dark=63.2828]
step 193: cost=166.9749  [spot_bright=103.5924  spot_dark=63.3824]
step 194: cost=167.0228  [spot_bright=103.5507  spot_dark=63.4721]
step 195: cost=167.0502  [spot_bright=103.4889  spot_dark=63.5613]
step 196: cost=167.0683  [spot_bright=103.4132  spot_dark=63.6551]
step 197: cost=167.1063  [spot_bright=103.3465  spot_dark=63.7598]
step 198: cost=167.2133  [spot_bright=103.3388  spot_dark=63.8746]
step 199: cost=167.3846  [spot_bright=103.3816  spot_dark=64.0030]
step 200: cost=167.6090  [spot_bright=103.4705  spot_dark=64.1385]
step 201: cost=167.8081  [spot_bright=103.5395  spot_dark=64.2686]
step 202: cost=167.9079  [spot_bright=103.5074  spot_dark=64.4005]
step 203: cost=168.0643  [spot_bright=103.4885  spot_dark=64.5758]
step 204: cost=168.2765  [spot_bright=103.4795  spot_dark=64.7970]
step 205: cost=168.5546  [spot_bright=103.4756  spot_dark=65.0790]
step 206: cost=168.8787  [spot_bright=103.4366  spot_dark=65.4422]
step 207: cost=169.2171  [spot_bright=103.3430  spot_dark=65.8741]
step 208: cost=169.1811  [spot_bright=103.2909  spot_dark=65.8902]
