edge_idx,src_node,tar_node,source_cell,target_cell,syn_sign,syn_strength_edge
280,10668,9399,Tm2,T5d,1,1.004349
281,7002,9480,C3,Tm4,-1,1.048814
282,6191,14096,C2,T1,-1,1.045115
283,6031,4563,Mi1,T2a,1,0.613943
284,1001,478,R1-6,L1,-1,1.079913
285,7967,13860,T4a,C3,1,3.619898
286,2020,11314,R1-6,L2,-1,3.492719
287,12576,13690,Mi1,Tm1,1,0.726404
288,7328,10407,Mi13,Tm1,-1,0.958350
289,6254,2975,Tm4,Mi14,1,0.100000
290,3397,6242,Mi1,T4b,1,1.022436
291,9661,9418,Tm2,T2,1,0.984833
292,4619,3112,Mi1,T4d,1,0.991803
293,3762,12450,Mi1,Tm3,1,0.670157
294,11053,11254,Mi1,T2,1,0.100000
295,11879,201,Mi15,Tm5c,1,1.819026
296,12670,5880,Tm1,T5b,1,1.001831
297,569,5493,Mi9,TmY11,-1,1.025043
298,10344,4572,L2,L4,1,4.392071
299,3349,13134,Tm3,T4b,1,1.025741
300,2258,6457,Mi9,Tm21,-1,2.421532
301,8788,11667,Tm3,T4b,1,0.100000
302,11379,12467,L4,R1-6,1,0.197294
303,3073,12397,L2,Tm2,1,9.568940
304,9982,11349,Tm3,T4c,1,0.100000
305,14494,10126,Tm3,Tm3,1,7.999818
306,5875,9803,Mi15,Mi4,1,0.158986
307,11393,147,Tm9,T5c,1,0.961704
308,6318,4964,Tm1,T5a,1,0.100000
309,3006,1969,Tm27,Mi10,1,0.100000
310,6137,5244,L5,Tm3,1,1.768981
311,13573,5386,T3,Tm3,1,1.038047
312,10952,12110,C2,L1,-1,7.112657
313,5003,5915,Lawf2,Lai,1,2.174195
314,1387,5136,TmY11,TmY11,1,1.153835
315,7395,688,L2,L4,1,0.100000
316,10070,9110,L1,Tm3,-1,1.685080
317,531,12892,T1,L2,1,0.100000
318,9446,10584,T1,L2,1,0.978660
319,2855,4535,L4,TmY3,1,0.510026
320,10612,8670,R1-6,Lai,-1,2.458870
321,6494,10607,Mi4,TmY5a,-1,2.059958
322,13603,1513,Mi1,T3,1,1.009252
