idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
40,Tm20,1.036883,50.000000,1.762718,0.100000,-0.810571,-100.000000,-100.000000,1.025443,350.905640,10.000000,198.799423,0.000000,-31.317797,-31.375082,-32.219799,-0.844717,70.429710,70.370964,69.504761,-0.866203,70.429710,70.428650,70.395226,-0.033424
41,Tm21,1.038234,50.000000,1.762718,0.130667,-0.697891,-100.000000,-100.000000,0.994265,348.661133,10.000000,198.799423,0.000000,-18.651817,-18.685841,-18.706654,-0.020813,80.881691,80.847870,80.827171,-0.020699,80.881691,80.881096,80.877983,-0.003113
42,Tm27,0.992339,50.000000,1.762718,0.100000,-1.475598,-100.000000,-100.000000,0.974508,348.888062,10.000000,198.799423,0.000000,-11.382032,-11.369114,-11.302705,0.066409,86.358894,86.371483,86.436195,0.064713,86.358894,86.359100,86.361549,0.002449
43,Tm5a,0.964003,50.000000,1.762718,0.100000,-1.492345,-100.000000,-100.000000,1.005940,351.381195,10.000000,198.799423,0.000000,-22.027124,-22.094412,-23.066893,-0.972481,78.436058,78.368370,77.390121,-0.978249,78.436058,78.434868,78.397781,-0.037086
44,Tm5b,0.978578,50.000000,1.762718,0.100000,-1.315480,-100.000000,-100.000000,1.043740,348.822723,10.000000,198.799423,0.000000,-25.368795,-25.429001,-26.344503,-0.915503,77.895592,77.832741,76.877197,-0.955544,77.895592,77.894447,77.858040,-0.036407
45,Tm5c,0.994826,50.000000,1.762718,1.970020,0.564977,-100.000000,-100.000000,1.008519,348.109131,10.000000,198.799423,0.000000,-0.276049,-0.297507,-0.452162,-0.154655,100.573479,100.551834,100.395866,-0.155968,100.573479,100.573097,100.566589,-0.006508
46,Tm5f,1.000087,50.000000,1.762718,0.100511,-0.822368,-100.000000,-100.000000,1.000610,349.006897,10.000000,198.799423,0.000000,-3.171977,-3.166886,-3.139028,0.027857,96.887085,96.892181,96.920067,0.027885,96.887085,96.887184,96.888260,0.001076
47,TmY10,1.009524,50.000000,1.762718,0.100000,-1.049893,-100.000000,-100.000000,0.965344,352.026337,10.000000,198.799423,0.000000,-12.290675,-12.250791,-12.064637,0.186153,84.669701,84.708206,84.887917,0.179710,84.669701,84.670341,84.677765,0.007423
48,TmY11,0.963757,12.715825,1.762718,0.100000,-1.409865,-100.000000,-100.000000,0.959231,347.501099,10.000000,198.799423,0.000000,-95.464142,-95.149681,-94.302429,0.847252,12.713904,12.823043,13.124773,0.301730,12.713904,12.715823,12.731982,0.016159
49,TmY14,0.986807,50.000000,1.762718,0.100000,-1.396284,-100.000000,-100.000000,0.994622,349.505920,10.000000,198.799423,0.000000,-33.055191,-33.152348,-33.210766,-0.058418,66.584770,66.488121,66.430023,-0.058098,66.584770,66.583046,66.574142,-0.008904
50,TmY15,1.033346,50.000000,1.762718,1.934037,1.341114,-100.000000,-100.000000,1.007546,349.129089,10.000000,198.799423,0.000000,6.160221,6.148580,6.171598,0.023019,106.961273,106.949532,106.972725,0.023193,106.961273,106.961075,106.960587,-0.000488
51,TmY3,0.982053,50.000000,1.762718,0.100000,-1.316232,-100.000000,-100.000000,0.950371,348.210083,10.000000,198.799423,0.000000,-43.959930,-43.838116,-43.396187,0.441929,53.258873,53.374641,53.794636,0.419994,53.258873,53.260872,53.280579,0.019707
52,TmY4,0.952377,50.000000,1.762718,0.100000,-1.452494,-100.000000,-100.000000,1.041139,351.427094,10.000000,198.799423,0.000000,-18.702290,-18.755791,-18.785048,-0.029257,84.642227,84.586517,84.556061,-0.030457,84.642227,84.641235,84.636192,-0.005043
53,TmY5a,0.959008,50.000000,1.762718,1.932651,1.349887,-100.000000,-100.000000,1.016258,349.995331,10.000000,198.799423,0.000000,6.517491,6.525296,6.546580,0.021284,108.249260,108.257195,108.278824,0.021629,108.249260,108.249397,108.250504,0.001106
54,TmY9q,0.991736,50.000000,1.762718,0.100000,-1.308242,-100.000000,-100.000000,1.003891,349.285126,10.000000,198.799423,0.000000,-1.286376,-1.286862,-1.287233,-0.000371,99.097717,99.097237,99.096848,-0.000389,99.097717,99.097702,99.097664,-0.000038
55,TmY9q__perp,1.044845,50.000000,1.762718,0.100000,-0.884579,-100.000000,-100.000000,0.951597,352.002472,10.000000,198.799423,0.000000,-0.808844,-0.809007,-0.809077,-0.000070,94.389969,94.389809,94.389748,-0.000061,94.389969,94.389969,94.389969,0.000000
