panel,cell,time_s,amplitude
4B,Mi4,1.2073921971252566,0.17146974063400577
4B,Mi4,1.2104722792607803,0.17002881844380405
4B,Mi4,1.213552361396304,0.17002881844380405
4B,Mi4,1.2166324435318274,0.17002881844380405
4B,Mi4,1.219712525667351,0.1685878962536023
4B,Mi4,1.2227926078028748,0.16714697406340057
4B,Mi4,1.2258726899383983,0.16714697406340057
4B,Mi4,1.228952772073922,0.16714697406340057
4B,Mi4,1.2320328542094456,0.16570605187319884
4B,Mi4,1.235112936344969,0.1642651296829971
4B,Mi4,1.2381930184804928,0.1642651296829971
4B,Mi4,1.2412731006160165,0.1628242074927954
4B,Mi4,1.24435318275154,0.16138328530259366
4B,Mi4,1.2474332648870636,0.16138328530259366
4B,Mi4,1.2505133470225873,0.15994236311239193
4B,Mi4,1.2535934291581108,0.1585014409221902
4B,Mi4,1.2566735112936345,0.15706051873198848
4B,Mi4,1.2597535934291582,0.15417867435158503
4B,Mi4,1.2628336755646816,0.15417867435158503
4B,Mi4,1.2659137577002053,0.15129682997118155
4B,Mi4,1.268993839835729,0.15129682997118155
4B,Mi4,1.2720739219712525,0.1484149855907781
4B,Mi4,1.2751540041067762,0.1484149855907781
4B,Mi4,1.2782340862422998,0.14553314121037464
4B,Mi4,1.2813141683778233,0.1440922190201729
4B,Mi4,1.284394250513347,0.14265129682997119
4B,Mi4,1.2874743326488707,0.14121037463976946
4B,Mi4,1.2905544147843941,0.14121037463976946
4B,Mi4,1.2936344969199178,0.13976945244956773
4B,Mi4,1.2967145790554415,0.138328530259366
4B,Mi4,1.299794661190965,0.138328530259366
4B,Mi4,1.3028747433264887,0.138328530259366
4B,Mi4,1.3059548254620124,0.13688760806916425
4B,Mi4,1.3090349075975358,0.13544668587896252
4B,Mi4,1.3121149897330595,0.13544668587896252
4B,Mi4,1.3151950718685832,0.13544668587896252
4B,Mi4,1.3182751540041067,0.13544668587896252
4B,Mi4,1.3213552361396304,0.13544668587896252
4B,Mi4,1.324435318275154,0.13544668587896252
4B,Mi4,1.3275154004106775,0.13544668587896252
4B,Mi4,1.3305954825462012,0.13544668587896252
4B,Mi4,1.3336755646817249,0.13544668587896252
4B,Mi4,1.3367556468172483,0.13544668587896252
4B,Mi4,1.339835728952772,0.13256484149855907
4B,Mi4,1.3429158110882957,0.13256484149855907
4B,Mi4,1.3459958932238192,0.13256484149855907
4B,Mi4,1.3490759753593429,0.13256484149855907
4B,Mi4,1.3521560574948666,0.13256484149855907
4B,Mi4,1.35523613963039,0.12968299711815562
4B,Mi4,1.3583162217659137,0.12968299711815562
4B,Mi4,1.3613963039014374,0.12968299711815562
4B,Mi4,1.3644763860369609,0.12968299711815562
4B,Mi4,1.3675564681724846,0.1282420749279539
4B,Mi4,1.3706365503080082,0.12680115273775217
4B,Mi4,1.3737166324435317,0.12680115273775217
4B,Mi4,1.3767967145790554,0.12680115273775217
4B,Mi4,1.379876796714579,0.1239193083573487
4B,Mi4,1.3829568788501025,0.1239193083573487
4B,Mi4,1.3860369609856262,0.1239193083573487
4B,Mi4,1.38911704312115,0.1239193083573487
4B,Mi4,1.3921971252566734,0.1239193083573487
4B,Mi4,1.395277207392197,0.12103746397694524
4B,Mi4,1.3983572895277208,0.12103746397694524
4B,Mi4,1.4014373716632442,0.12103746397694524
4B,Mi4,1.404517453798768,0.12103746397694524
4B,Mi4,1.4075975359342916,0.12103746397694524
4B,Mi4,1.410677618069815,0.11959654178674352
4B,Mi4,1.4137577002053388,0.11815561959654179
4B,Mi4,1.4168377823408624,0.11815561959654179
4B,Mi4,1.419917864476386,0.11671469740634005
4B,Mi4,1.4229979466119096,0.11671469740634005
4B,Mi4,1.4260780287474333,0.11527377521613832
4B,Mi4,1.4291581108829567,0.1138328530259366
4B,Mi4,1.4322381930184804,0.11239193083573487
4B,Mi4,1.4353182751540041,0.11095100864553314
4B,Mi4,1.4383983572895276,0.11095100864553314
4B,Mi4,1.4414784394250513,0.10806916426512968
4B,Mi4,1.444558521560575,0.10806916426512968
4B,Mi4,1.4476386036960984,0.10518731988472622
4B,Mi4,1.4507186858316221,0.10518731988472622
4B,Mi4,1.4537987679671458,0.1037463976945245
4B,Mi4,1.4568788501026693,0.10230547550432277
4B,Mi4,1.459958932238193,0.10086455331412104
4B,Mi4,1.4630390143737166,0.0994236311239193
4B,Mi4,1.46611909650924,0.09798270893371758
4B,Mi4,1.4691991786447638,0.09798270893371758
4B,Mi4,1.4722792607802875,0.09798270893371758
4B,Mi4,1.475359342915811,0.09654178674351585
4B,Mi4,1.4784394250513346,0.09510086455331412
4B,Mi4,1.4815195071868583,0.09510086455331412
4B,Mi4,1.4845995893223818,0.09510086455331412
4B,Mi4,1.4876796714579055,0.09510086455331412
