type,root_id,n_partners,n_partners_with_column,majority_column_id,votes
R1-6,720575940623328332,3,3,107,3
R1-6,720575940637002351,3,3,107,3
R1-6,720575940613239318,3,3,110,3
R1-6,720575940618416057,2,2,110,2
R1-6,720575940621020097,3,3,110,3
R1-6,720575940621071963,2,2,110,2
R1-6,720575940627537427,3,3,110,3
R1-6,720575940629913679,2,2,110,2
R1-6,720575940631533263,2,2,110,2
R1-6,720575940642741389,3,3,110,3
R1-6,720575940616021610,3,3,112,3
R1-6,720575940616022122,3,3,112,3
R1-6,720575940618766917,3,3,112,3
R1-6,720575940620300624,3,3,112,3
R1-6,720575940624143871,3,3,112,3
R1-6,720575940641130368,3,3,112,3
R1-6,720575940644613536,3,3,112,3
R1-6,720575940608107186,4,4,113,4
R1-6,720575940617502069,4,3,113,3
R1-6,720575940618793629,5,3,113,3
R1-6,720575940619946289,3,3,113,3
R1-6,720575940625802279,5,3,113,3
R1-6,720575940635367520,5,4,113,4
R1-6,720575940622877398,3,3,115,3
R1-6,720575940628520767,3,3,115,3
R1-6,720575940629936378,3,3,115,3
R1-6,720575940631533164,3,3,115,3
R1-6,720575940639059526,3,3,115,3
R1-6,720575940644467400,3,3,115,3
R1-6,720575940609261148,4,3,118,3
R1-6,720575940616597945,5,3,118,3
R1-6,720575940623017310,5,3,118,3
R1-6,720575940629413596,4,3,118,3
R1-6,720575940630009447,5,3,118,3
R1-6,720575940637858416,5,3,118,3
R1-6,720575940641076608,5,3,118,3
R1-6,720575940645547556,4,3,118,3
R1-6,720575940613775474,4,3,119,3
R1-6,720575940627004858,4,3,119,3
R1-6,720575940627140414,3,3,119,3
R1-6,720575940633552804,3,3,119,3
R1-6,720575940635864511,4,4,119,4
R1-6,720575940648343172,3,3,119,3
R1-6,720575940619255365,3,3,120,3
R1-6,720575940627392258,3,3,120,3
R1-6,720575940628716456,3,3,120,3
R1-6,720575940628717224,3,3,120,3
R1-6,720575940629810704,3,3,120,3
R1-6,720575940633022604,3,3,120,3
R1-6,720575940633723949,3,3,120,3
R1-6,720575940639039465,3,3,120,3
R1-6,720575940613769238,3,3,121,3
R1-6,720575940621370351,3,3,121,3
R1-6,720575940637712496,2,2,121,2
R1-6,720575940640711040,2,2,121,2
R1-6,720575940660749185,3,3,121,3
R1-6,720575940612496533,3,3,122,3
R1-6,720575940624099210,3,3,122,3
R1-6,720575940628763644,3,3,122,3
R1-6,720575940632888647,3,3,122,3
R1-6,720575940612719322,2,2,123,2
R1-6,720575940626254384,3,3,123,3
R1-6,720575940640315965,2,2,123,2
R1-6,720575940614845491,6,4,125,4
R1-6,720575940621877569,4,3,125,3
R1-6,720575940624978663,5,4,125,4
R1-6,720575940625693966,6,4,125,4
R1-6,720575940635822234,6,4,125,4
R1-6,720575940644595104,5,4,125,4
R1-6,720575940609685257,4,3,126,3
R1-6,720575940611784824,5,4,126,4
R1-6,720575940627166333,5,3,126,3
R1-6,720575940632262674,5,4,126,4
R1-6,720575940606468454,3,3,127,3
R1-6,720575940615253502,4,4,127,4
R1-6,720575940627214594,3,3,127,3
R1-6,720575940650667129,4,3,127,3
R1-6,720575940613929955,4,3,130,3
R1-6,720575940623698835,4,3,130,3
R1-6,720575940624703495,6,4,130,4
R1-6,720575940628181258,5,4,130,4
R1-6,720575940634300385,5,3,130,3
R1-6,720575940636719471,4,3,130,3
R1-6,720575940605844396,3,3,131,3
R1-6,720575940632897932,3,3,131,3
R1-6,720575940609523209,6,4,132,4
R1-6,720575940614174435,5,4,132,4
R1-6,720575940625615847,3,3,132,3
R1-6,720575940636016479,5,4,132,4
R1-6,720575940648429700,5,4,132,4
R1-6,720575940621594561,3,3,133,3
R1-6,720575940622138032,3,3,133,3
R1-6,720575940624365350,3,3,133,3
R1-6,720575940637456997,3,3,133,3
R1-6,720575940642477531,3,3,133,3
R1-6,720575940620748880,4,3,136,3
R1-6,720575940620750416,4,3,136,3
R1-6,720575940622444319,5,3,136,3
R1-6,720575940625596308,4,3,136,3
R1-6,720575940638985188,4,3,136,3
R1-6,720575940638986212,3,3,136,3
R1-6,720575940614351175,3,3,138,3
R1-6,720575940624172048,3,3,138,3
R1-6,720575940624969478,3,3,138,3
R1-6,720575940622134800,3,3,140,3
R1-6,720575940626043943,3,3,140,3
R1-6,720575940631106103,4,4,140,4
R1-6,720575940632143435,3,3,140,3
R1-6,720575940639034596,4,4,140,4
R1-6,720575940639034852,4,4,140,4
R1-6,720575940640531773,5,4,140,4
R1-6,720575940614592237,3,3,143,3
R1-6,720575940624398739,3,3,143,3
R1-6,720575940626539813,3,3,143,3
R1-6,720575940633507788,3,3,143,3
R1-6,720575940640186165,3,3,143,3
R1-6,720575940610264771,5,4,145,4
R1-6,720575940614588200,4,3,145,3
R1-6,720575940616785862,5,4,145,4
R1-6,720575940617481589,4,4,145,4
R1-6,720575940622075713,3,3,145,3
R1-6,720575940633311277,3,3,145,3
R1-6,720575940624600298,4,3,147,3
R1-6,720575940625844156,4,3,147,3
R1-6,720575940627395356,4,3,147,3
R1-6,720575940635848287,3,3,147,3
R1-6,720575940650715513,3,3,147,3
R1-6,720575940616532546,3,3,150,3
R1-6,720575940625718055,3,3,150,3
R1-6,720575940625722919,2,2,150,2
R1-6,720575940638534878,3,3,150,3
R1-6,720575940647078691,3,3,150,3
R1-6,720575940623752205,3,3,153,3
R1-6,720575940634903577,3,3,153,3
R1-6,720575940614225389,5,5,154,3
R1-6,720575940623827336,3,3,154,3
R1-6,720575940624703211,2,2,154,2
R1-6,720575940630275372,4,3,154,3
R1-6,720575940634413593,4,4,154,2
R1-6,720575940638383076,2,2,154,2
R1-6,720575940646792483,3,3,154,3
R1-6,720575940621331649,3,3,155,3
R1-6,720575940627871625,3,3,155,3
R1-6,720575940631254267,3,3,155,3
R1-6,720575940614222829,2,2,156,2
R1-6,720575940621117830,2,2,156,2
R1-6,720575940629526275,3,3,156,3
R1-6,720575940606760038,6,1,158,1
R1-6,720575940619846558,3,3,158,3
R1-6,720575940622185588,4,3,158,3
R1-6,720575940622433919,4,3,158,3
R1-6,720575940625805838,3,3,158,3
R1-6,720575940627869577,4,3,158,3
R1-6,720575940634964761,3,3,158,3
R1-6,720575940627932553,4,4,159,4
R1-6,720575940633686829,5,5,159,4
R1-6,720575940620790475,4,3,160,3
R1-6,720575940623878925,4,3,160,3
R1-6,720575940632375823,3,3,160,3
R1-6,720575940632759609,3,3,160,3
R1-6,720575940637751214,3,3,160,3
R1-6,720575940639539270,3,3,160,3
R1-6,720575940613170917,3,3,162,3
R1-6,720575940617627865,3,3,162,3
R1-6,720575940627872017,3,3,162,3
R1-6,720575940639056198,3,3,162,3
R1-6,720575940639253318,3,3,162,3
