type,root_id,n_partners,n_partners_with_column,majority_column_id,votes
R1-6,720575940613826019,5,4,63,4
R1-6,720575940621237126,4,4,63,4
R1-6,720575940622712414,4,3,63,3
R1-6,720575940624711933,5,3,63,3
R1-6,720575940629573648,6,4,63,4
R1-6,720575940618008891,5,4,64,4
R1-6,720575940618099673,4,3,64,3
R1-6,720575940628214671,4,4,64,4
R1-6,720575940633637459,4,3,64,3
R1-6,720575940636247032,3,3,64,3
R1-6,720575940605923296,2,2,65,2
R1-6,720575940609219593,2,2,65,2
R1-6,720575940619119168,2,2,65,2
R1-6,720575940612646549,5,3,66,3
R1-6,720575940616113158,6,3,66,3
R1-6,720575940616346015,5,3,66,3
R1-6,720575940626829093,4,3,66,3
R1-6,720575940633652892,5,3,66,3
R1-6,720575940621426159,4,3,67,3
R1-6,720575940616102918,5,4,68,4
R1-6,720575940621819457,5,3,68,3
R1-6,720575940624445674,5,3,68,3
R1-6,720575940624807241,4,2,68,2
R1-6,720575940632029226,4,3,68,3
R1-6,720575940639886013,4,3,68,3
R1-6,720575940637225317,3,3,69,3
R1-6,720575940638645823,4,3,69,3
R1-6,720575940659627649,5,3,69,3
R1-6,720575940621769313,4,3,70,3
R1-6,720575940618270353,5,4,71,4
R1-6,720575940627618078,5,3,71,3
R1-6,720575940629995623,5,3,71,3
R1-6,720575940633284383,5,4,71,4
R1-6,720575940635384727,5,3,71,3
R1-6,720575940640382773,6,4,71,4
R1-6,720575940628885254,4,3,72,3
R1-6,720575940640520563,4,3,72,3
R1-6,720575940616132575,5,4,73,4
R1-6,720575940618844189,6,3,73,3
R1-6,720575940619802166,5,4,73,4
R1-6,720575940620864903,4,3,73,3
R1-6,720575940623749645,5,4,73,4
R1-6,720575940626792485,4,4,73,4
R1-6,720575940615266471,4,3,74,3
R1-6,720575940621015205,4,3,74,3
R1-6,720575940622480624,4,3,74,3
R1-6,720575940626994946,5,3,74,3
R1-6,720575940641195216,7,4,74,4
R1-6,720575940615432082,2,2,75,2
R1-6,720575940607547337,4,3,76,3
R1-6,720575940615858143,3,3,76,3
R1-6,720575940627866245,5,3,76,3
R1-6,720575940635271776,5,4,76,4
R1-6,720575940637308005,5,4,76,4
R1-6,720575940621605485,5,4,77,4
R1-6,720575940626039373,4,3,77,3
R1-6,720575940628008018,6,4,77,4
R1-6,720575940636704879,5,4,77,4
R1-6,720575940640310077,4,4,77,4
R1-6,720575940660873857,5,4,77,4
R1-6,720575940609385483,4,3,78,3
R1-6,720575940618584221,4,3,78,3
R1-6,720575940618922265,5,4,78,4
R1-6,720575940630936408,6,4,78,4
R1-6,720575940631321708,5,4,78,4
R1-6,720575940633615533,5,3,78,3
R1-6,720575940618731521,4,3,79,3
R1-6,720575940621670235,7,4,79,4
R1-6,720575940625280235,3,3,79,3
R1-6,720575940627290626,5,3,79,3
R1-6,720575940628059914,5,4,79,4
R1-6,720575940631547643,6,4,79,4
R1-6,720575940631547899,4,3,79,3
R1-6,720575940632991303,6,4,79,4
R1-6,720575940609652747,5,3,80,3
R1-6,720575940616898098,5,3,80,3
R1-6,720575940625906983,5,4,80,4
R1-6,720575940630603642,5,3,80,3
R1-6,720575940632203538,6,4,80,4
R1-6,720575940615213822,6,4,81,4
R1-6,720575940616656326,6,4,81,4
R1-6,720575940621375983,6,4,81,4
R1-6,720575940628297103,5,4,81,4
R1-6,720575940632090699,5,4,81,4
R1-6,720575940632339404,6,4,81,4
R1-6,720575940634048211,5,4,81,4
R1-6,720575940639358790,6,4,81,4
R1-6,720575940625392532,4,3,82,3
R1-6,720575940627251484,4,3,82,3
R1-6,720575940632128786,4,4,82,4
R1-6,720575940642164469,6,4,82,4
R1-6,720575940606635953,7,4,83,4
R1-6,720575940627790973,5,3,83,3
R1-6,720575940628415765,6,4,83,4
R1-6,720575940629654544,5,4,83,4
R1-6,720575940635303776,5,3,83,3
R1-6,720575940637599406,4,3,83,3
R1-6,720575940628429841,3,3,84,3
R1-6,720575940639635901,5,3,84,3
R1-6,720575940613404074,5,4,85,4
R1-6,720575940619414592,5,4,85,4
R1-6,720575940621716833,5,4,85,4
R1-6,720575940622596735,5,3,85,3
R1-6,720575940624231974,5,4,85,4
R1-6,720575940637426350,4,3,85,3
R1-6,720575940609178377,4,3,86,3
R1-6,720575940625215124,4,4,86,4
R1-6,720575940630428151,4,4,86,4
R1-6,720575940630890807,4,3,86,3
R1-6,720575940642851213,4,3,86,3
R1-6,720575940646022254,3,3,86,3
R1-6,720575940614661416,4,3,87,3
R1-6,720575940618762580,4,3,87,3
R1-6,720575940660966529,4,3,87,3
R1-6,720575940621269382,4,3,88,3
R1-6,720575940623289565,4,3,88,3
R1-6,720575940638684393,6,3,88,3
R1-6,720575940639159012,4,3,88,3
R1-6,720575940639370310,4,3,88,3
R1-6,720575940624386538,5,4,89,4
R1-6,720575940628252553,5,4,89,4
R1-6,720575940629939303,5,4,89,4
R1-6,720575940633240780,5,4,89,4
R1-6,720575940633673133,4,3,89,3
R1-6,720575940614600755,5,3,90,3
R1-6,720575940615117735,5,3,90,3
R1-6,720575940619504507,5,3,90,3
R1-6,720575940630867927,5,3,90,3
R1-6,720575940634781852,4,3,90,3
R1-6,720575940627086436,6,4,91,4
R1-6,720575940627846808,6,4,91,4
R1-6,720575940636563055,4,3,91,3
R1-6,720575940637690798,5,3,91,3
R1-6,720575940645156040,6,4,91,4
R1-6,720575940630348538,4,3,92,3
R1-6,720575940634084051,3,3,92,3
R1-6,720575940644534944,5,3,92,3
R1-6,720575940615340294,5,3,94,3
R1-6,720575940615541142,4,3,94,3
R1-6,720575940619295646,5,3,94,3
R1-6,720575940621071552,4,3,94,3
R1-6,720575940631742927,4,3,94,3
R1-6,720575940624786103,5,4,95,4
R1-6,720575940628629928,5,4,95,4
R1-6,720575940629182026,5,4,95,4
R1-6,720575940629717251,5,4,95,4
R1-6,720575940631013431,5,4,95,4
R1-6,720575940643052173,5,4,95,4
R1-6,720575940611447160,5,4,96,4
R1-6,720575940618093785,4,3,96,3
R1-6,720575940619583202,4,3,96,3
R1-6,720575940628145797,4,3,96,3
R1-6,720575940632593209,6,4,96,4
R1-6,720575940616805644,3,3,97,3
R1-6,720575940618557953,4,3,97,3
R1-6,720575940622585584,3,3,97,3
R1-6,720575940620527819,4,3,98,3
R1-6,720575940621057957,6,4,98,4
R1-6,720575940628471720,4,3,98,3
R1-6,720575940607492553,4,3,99,3
R1-6,720575940609153372,5,3,99,3
R1-6,720575940623224396,4,3,99,3
R1-6,720575940624282564,4,3,99,3
R1-6,720575940631194988,6,4,99,4
R1-6,720575940635234400,4,3,99,3
R1-6,720575940607550921,4,4,100,4
R1-6,720575940609345033,5,3,100,3
R1-6,720575940626741946,5,3,100,3
R1-6,720575940628434709,4,3,100,3
R1-6,720575940632525891,5,4,100,4
R1-6,720575940607937922,2,2,101,2
R1-6,720575940612981683,3,3,101,3
R1-6,720575940635372183,3,3,101,3
R1-6,720575940640484003,4,4,101,4
R1-6,720575940606531811,4,3,102,3
R1-6,720575940621351558,4,3,102,3
R1-6,720575940622562431,5,3,102,3
R1-6,720575940638835177,5,3,102,3
R1-6,720575940639937981,4,3,102,3
R1-6,720575940645443620,5,3,102,3
R1-6,720575940625506279,4,3,103,3
R1-6,720575940640332605,4,3,103,3
R1-6,720575940620818055,3,2,104,2
R1-6,720575940625829820,2,2,104,2
R1-6,720575940629253873,3,2,104,2
R1-6,720575940614706643,5,4,105,4
R1-6,720575940624161318,4,3,105,3
R1-6,720575940628536552,4,3,105,3
R1-6,720575940635749112,4,3,105,3
R1-6,720575940648194436,4,3,105,3
R1-6,720575940612759770,4,4,106,4
R1-6,720575940616868283,3,3,106,3
R1-6,720575940634963100,3,3,106,3
R1-6,720575940618027993,4,3,107,3
R1-6,720575940632665656,3,3,107,3
R1-6,720575940605808044,5,3,108,3
R1-6,720575940614405928,6,4,108,4
R1-6,720575940624163978,5,3,108,3
R1-6,720575940630690108,6,4,108,4
R1-6,720575940607529130,5,4,109,4
R1-6,720575940611645394,6,4,109,4
R1-6,720575940619336512,6,4,109,4
R1-6,720575940626750666,6,4,109,4
R1-6,720575940637454222,7,5,109,5
R1-6,720575940624721149,5,3,110,3
R1-6,720575940627262978,5,3,110,3
R1-6,720575940631972293,4,3,110,3
R1-6,720575940634840345,3,3,110,3
R1-6,720575940620684629,3,3,111,3
R1-6,720575940624710071,4,3,111,3
R1-6,720575940626580880,5,3,111,3
R1-6,720575940627999826,4,3,111,3
R1-6,720575940644332960,5,4,111,4
R1-6,720575940612345698,2,2,112,2
R1-6,720575940616335263,2,2,112,2
R1-6,720575940618512418,3,2,112,2
R1-6,720575940623773197,3,2,112,2
R1-6,720575940630153978,2,2,112,2
R1-6,720575940630651383,3,2,112,2
R1-6,720575940609667285,3,2,113,2
R1-6,720575940614406952,3,2,113,2
R1-6,720575940623541517,3,2,113,2
R1-6,720575940609317897,6,4,114,4
R1-6,720575940612689777,6,4,114,4
R1-6,720575940621441883,5,3,114,3
R1-6,720575940628467624,5,4,114,4
R1-6,720575940629294697,5,4,114,4
R1-6,720575940629584400,7,4,114,4
R1-6,720575940615348130,4,2,115,2
R1-6,720575940617251670,4,2,115,2
R1-6,720575940621043109,4,2,115,2
R1-6,720575940639403317,3,2,115,2
R1-6,720575940606431776,5,3,116,3
R1-6,720575940606529382,4,3,116,3
R1-6,720575940609370633,4,3,116,3
R1-6,720575940618817108,4,3,116,3
R1-6,720575940631420665,6,4,116,4
R1-6,720575940648205700,6,4,116,4
R1-6,720575940607573449,2,2,117,2
R1-6,720575940621019557,3,2,117,2
R1-6,720575940621889718,2,2,117,2
R1-6,720575940625772814,2,2,117,2
R1-6,720575940637247333,2,2,117,2
R1-6,720575940612863450,5,3,118,3
R1-6,720575940614066915,4,3,118,3
R1-6,720575940615424674,5,4,118,4
R1-6,720575940620540619,3,3,118,3
R1-6,720575940625941799,6,3,118,3
R1-6,720575940628776616,3,3,118,3
R1-6,720575940628793768,5,3,118,3
R1-6,720575940632055311,5,3,118,3
R1-6,720575940624275347,4,3,119,3
R1-6,720575940631683525,5,3,119,3
R1-6,720575940632408121,3,2,119,2
R1-6,720575940633387309,4,3,119,3
R1-6,720575940605623776,4,3,120,3
R1-6,720575940613470890,4,3,120,3
R1-6,720575940615454626,4,3,120,3
R1-6,720575940618758429,5,3,120,3
R1-6,720575940619081285,3,3,120,3
R1-6,720575940626840778,4,3,120,3
R1-6,720575940609361756,6,3,121,3
R1-6,720575940610185411,4,3,121,3
R1-6,720575940625054727,6,4,121,4
R1-6,720575940640396861,6,4,121,4
R1-6,720575940644819400,5,4,121,4
R1-6,720575940605853356,2,2,122,2
R1-6,720575940609983189,2,2,122,2
R1-6,720575940630110714,3,2,122,2
R1-6,720575940631280889,2,2,122,2
R1-6,720575940619839646,5,3,123,3
R1-6,720575940623100766,6,4,123,4
R1-6,720575940618576866,5,3,124,3
R1-6,720575940633819565,5,4,124,4
R1-6,720575940619446357,5,3,125,3
R1-6,720575940621866049,6,4,125,4
R1-6,720575940625854990,4,3,125,3
R1-6,720575940627515624,5,4,125,4
R1-6,720575940630318331,4,4,125,4
R1-6,720575940637495524,5,3,125,3
R1-6,720575940625557991,4,3,126,3
R1-6,720575940629723139,5,5,126,5
R1-6,720575940631213686,6,4,126,4
R1-6,720575940637508782,5,3,126,3
R1-6,720575940642206683,5,4,126,4
R1-6,720575940612596954,6,3,127,3
R1-6,720575940615074302,6,4,127,4
R1-6,720575940616875195,5,3,127,3
R1-6,720575940622699689,4,3,127,3
R1-6,720575940615773802,6,3,128,3
R1-6,720575940625681080,5,4,128,4
R1-6,720575940627862665,5,3,128,3
R1-6,720575940629885799,5,4,128,4
R1-6,720575940633115217,7,4,128,4
R1-6,720575940646167150,4,4,128,4
R1-6,720575940614666536,5,4,129,4
R1-6,720575940615405714,4,3,129,3
R1-6,720575940619773750,6,4,129,4
R1-6,720575940630540922,6,4,129,4
R1-6,720575940630813440,5,4,129,4
R1-6,720575940637612718,5,3,129,3
R1-6,720575940631318636,4,3,130,3
R1-6,720575940621454063,4,3,131,3
R1-6,720575940625794343,5,3,131,3
R1-6,720575940621922124,5,3,132,3
R1-6,720575940624172824,5,4,132,4
R1-6,720575940636386222,4,3,132,3
R1-6,720575940636872815,5,4,132,4
R1-6,720575940653399542,4,3,133,3
R1-6,720575940632135186,4,3,134,3
R1-6,720575940647202851,4,3,134,3
R1-6,720575940611406894,3,3,135,3
R1-6,720575940621366644,2,2,135,2
R1-6,720575940623939210,3,3,135,3
R1-6,720575940630936540,2,2,135,2
R1-6,720575940637044069,5,4,135,4
R1-6,720575940641171664,4,3,135,3
R1-6,720575940606449254,5,4,136,4
R1-6,720575940618086356,4,3,136,3
R1-6,720575940627786136,4,3,136,3
R1-6,720575940653203446,4,3,136,3
R1-6,720575940616275778,6,4,137,4
R1-6,720575940622551045,5,4,137,4
R1-6,720575940622780442,4,3,137,3
R1-6,720575940626658341,6,4,137,4
R1-6,720575940629880475,7,5,137,5
R1-6,720575940639923509,4,3,137,3
R1-6,720575940609128201,3,3,138,3
R1-6,720575940613543702,3,3,138,3
R1-6,720575940621803184,4,3,138,3
R1-6,720575940622859463,4,3,138,3
R1-6,720575940629076585,4,3,138,3
R1-6,720575940616843788,3,3,139,3
R1-6,720575940622311152,4,4,139,4
R1-6,720575940623484771,3,3,139,3
R1-6,720575940612871386,4,3,140,3
R1-6,720575940620707925,5,4,140,4
R1-6,720575940621730657,4,3,140,3
R1-6,720575940624090762,3,3,140,3
R1-6,720575940647622964,4,3,140,3
R1-6,720575940620337713,3,3,141,3
R1-6,720575940632965004,3,3,141,3
R1-6,720575940615140561,5,3,142,3
R1-6,720575940621685345,3,2,142,2
R1-6,720575940622302704,4,3,142,3
R1-6,720575940633351332,4,3,142,3
R1-6,720575940634368226,4,3,142,3
R1-6,720575940644764104,6,4,142,4
R1-6,720575940619705211,3,3,143,3
R1-6,720575940626703397,4,3,143,3
R1-6,720575940632539193,4,3,143,3
R1-6,720575940632827020,4,3,143,3
R1-6,720575940634402274,3,3,143,3
R1-6,720575940639146217,3,3,143,3
R1-6,720575940607012017,4,3,144,3
R1-6,720575940628358410,3,3,144,3
R1-6,720575940615474066,3,3,145,3
R1-6,720575940620413400,3,3,145,3
R1-6,720575940625211400,3,3,145,3
R1-6,720575940607647433,3,3,146,3
R1-6,720575940618715393,4,3,146,3
R1-6,720575940622889310,4,3,146,3
R1-6,720575940640513395,5,4,146,4
R1-6,720575940650614393,4,4,146,4
R1-6,720575940606379808,5,4,147,4
R1-6,720575940606698161,4,4,147,4
R1-6,720575940614742751,4,3,147,3
R1-6,720575940615529378,4,3,147,3
R1-6,720575940632511555,4,3,147,3
R1-6,720575940635073948,5,4,147,4
R1-6,720575940615303586,4,2,148,2
R1-6,720575940616717874,3,2,148,2
R1-6,720575940631745999,3,2,148,2
R1-6,720575940610727492,6,3,149,3
R1-6,720575940622788634,5,3,149,3
R1-6,720575940625497870,5,3,149,3
R1-6,720575940634962076,6,4,149,4
R1-6,720575940636076280,4,3,149,3
R1-6,720575940621450923,3,3,150,3
R1-6,720575940611440850,3,3,151,3
R1-6,720575940622237567,3,3,151,3
R1-6,720575940627506777,6,4,151,4
R1-6,720575940628089682,5,3,151,3
R1-6,720575940636370612,4,3,151,3
R1-6,720575940637640293,5,3,151,3
R1-6,720575940605560288,4,3,152,3
R1-6,720575940614785229,5,3,152,3
R1-6,720575940624850429,4,3,152,3
R1-6,720575940625611751,6,4,152,4
R1-6,720575940628000393,3,3,152,3
R1-6,720575940628119827,4,3,152,3
R1-6,720575940630305530,3,3,152,3
R1-6,720575940626896528,5,4,153,4
R1-6,720575940636548276,5,4,153,4
R1-6,720575940606642609,4,3,154,3
R1-6,720575940616697868,4,3,154,3
R1-6,720575940626966218,4,3,154,3
R1-6,720575940639827901,5,3,154,3
R1-6,720575940640921984,4,3,154,3
