pre_idx,post_idx,pre_type,post_type,pre_root_id,post_root_id,syn_count,gS_mS_cm2,e_syn_mV,v_th_mV,k_minus,delta_mV,pre_baseline_mV,post_baseline_mV,s_inf_baseline,tau_s_baseline_ms,pair,is_r16_output
26706,6070,L1,Mi1,720575940626919882,720575940613676975,147.0,0.49999997,-70.0,-45.0,0.08,4.0,-28.676846,-58.597637,0.9833865327136528,0.20766834572108875,"('L1', 'Mi1')",False
2629,40194,L5,Tm3,720575940609685717,720575940635619263,19.0,0.49999997,0.0,-45.0,0.1,4.0,-42.422462,-58.510273,0.6557438919417394,3.442561029284449,"('L5', 'Tm3')",False
18598,8951,L5,Tm3,720575940622392560,720575940616310578,26.0,0.49999997,0.0,-45.0,0.1,4.0,-41.894096,-58.510284,0.684920094466889,3.1507990083805466,"('L5', 'Tm3')",False
22027,29875,R1-6,L1,720575940624189064,720575940628400149,39.0,1.1999998,-72.0,-56.0,0.1,3.0,-77.9262,-39.04808,0.0006692165297789919,9.99330768579032,"('R1-6', 'L1')",True
41812,8781,L1,Tm3,720575940637666734,720575940616166873,28.0,0.3000001,-70.0,-45.0,0.1,4.0,-39.044415,-58.46474,0.815912565567727,1.8408743168915656,"('L1', 'Tm3')",False
13089,265,L1,Mi1,720575940619416113,720575940604714929,74.0,0.49999997,-70.0,-45.0,0.08,4.0,-38.651127,-58.36464,0.8302243702330415,2.122195419521745,"('L1', 'Mi1')",False
20329,40367,Mi4,T4a,720575940623304141,720575940635781684,10.0,7.9999995,-72.0,-55.0,0.03,3.2,-60.208263,-59.86409,0.1641618341457855,27.86127281788846,"('Mi4', 'T4a')",False
33203,44158,R1-6,L1,720575940630318331,720575940640687861,38.0,1.1999998,-72.0,-56.0,0.1,3.0,-78.00097,-39.009663,0.0006527546213146695,9.993472304872512,"('R1-6', 'L1')",True
7553,4355,L3,Mi1,720575940615071122,720575940612197986,25.0,0.3000001,0.0,-45.0,0.14,3.0,-39.796024,-59.91917,0.8500073393695473,1.0713761427990196,"('L3', 'Mi1')",False
29251,28292,R1-6,L1,720575940628086586,720575940627633412,37.0,1.1999998,-72.0,-56.0,0.1,3.0,-30.882042,-39.04809,0.9997689517668809,0.0023104822967625967,"('R1-6', 'L1')",True
28806,7986,L5,Tm3,720575940627882366,720575940615440295,11.0,0.49999997,0.0,-45.0,0.1,4.0,-41.894093,-58.510273,0.6849203041779397,3.15079691127007,"('L5', 'Tm3')",False
36656,20998,L5,L1,720575940632390591,720575940623664664,19.0,0.20000006,0.0,-45.0,0.1,4.0,-62.688297,-37.53657,0.011866784050097761,9.881332012255701,"('L5', 'L1')",False
44945,42843,Tm3,T4a,720575940642873229,720575940638973824,5.0,0.3000001,0.0,-44.0,0.3,3.2,-56.243847,-63.646015,0.02132744953988117,3.262241705237224,"('Tm3', 'T4a')",False
38386,2112,L1,Tm3,720575940633647789,720575940608725259,14.0,0.3000001,-70.0,-45.0,0.1,4.0,-27.911955,-49.167973,0.9862383355877222,0.13761664207212998,"('L1', 'Tm3')",False
31341,22242,R1-6,L1,720575940629200369,720575940624293578,42.0,1.1999998,-72.0,-56.0,0.1,3.0,-77.94673,-39.047928,0.0006646553378306289,9.993353297709126,"('R1-6', 'L1')",True
21962,34791,R1-6,L3,720575940624163978,720575940631206967,17.0,0.74999994,-72.0,-56.0,0.1,3.0,-78.001,-40.761196,0.0006527480677716957,9.99347237040794,"('R1-6', 'L3')",True
34069,18971,R8,L1,720575940630803578,720575940622609669,7.0,0.14999998,-72.0,-60.0,0.1,3.0,-67.28105,-39.534195,0.08113556487809695,9.188644214297563,"('R8', 'L1')",False
41514,6620,R1-6,L3,720575940637308005,720575940614289361,26.0,0.74999994,-72.0,-56.0,0.1,3.0,-10.4882345,-40.65449,0.9999997420728829,2.579271132654003e-06,"('R1-6', 'L3')",True
28738,7978,L1,Tm3,720575940627848841,720575940615432415,7.0,0.3000001,-70.0,-45.0,0.1,4.0,-39.048027,-58.510235,0.8157768739666849,1.842231232881767,"('L1', 'Tm3')",False
29244,40345,R1-6,L3,720575940628083026,720575940635757560,33.0,0.74999994,-72.0,-56.0,0.1,3.0,-77.33337,-40.82598,0.0008153135633064309,9.991846715476816,"('R1-6', 'L3')",True
18414,15427,L5,Tm3,720575940622305553,720575940620826388,12.0,0.49999997,0.0,-45.0,0.1,4.0,-41.70161,-58.510284,0.695211361920461,3.0478863353783447,"('L5', 'Tm3')",False
28855,8185,L5,Tm3,720575940627910419,720575940615637159,8.0,0.49999997,0.0,-45.0,0.1,4.0,-41.89411,-58.510284,0.6849192696046686,3.1508072570026266,"('L5', 'Tm3')",False
39537,15286,Tm3,T4a,720575940634929003,720575940620755717,6.0,0.3000001,0.0,-44.0,0.3,3.2,-58.510265,-58.956295,0.010618757817917858,3.297937342892018,"('Tm3', 'T4a')",False
42447,42814,L5,Tm3,720575940638479081,720575940638925731,13.0,0.49999997,0.0,-45.0,0.1,4.0,-55.947735,-56.81407,0.06082884005054142,9.39171145954718,"('L5', 'Tm3')",False
1215,24831,L5,Tm3,720575940606706366,720575940625851696,25.0,0.49999997,0.0,-45.0,0.1,4.0,-41.502274,-39.924862,0.7056669856224674,2.9433300999162895,"('L5', 'Tm3')",False
2900,30645,Tm3,T4a,720575940610170436,720575940628794615,10.0,0.3000001,0.0,-44.0,0.3,3.2,-58.510265,-60.423996,0.010618757817917858,3.297937342892018,"('Tm3', 'T4a')",False
36049,46274,L1,Tm3,720575940632003640,720575940647143988,30.0,0.3000001,-70.0,-45.0,0.1,4.0,-38.626236,-58.510235,0.8310996795301675,1.6890031795302163,"('L1', 'Tm3')",False
40182,13590,L1,Mi1,720575940635607220,720575940619780731,140.0,0.49999997,-70.0,-45.0,0.08,4.0,-0.08188688,-54.032368,0.999986723854634,0.00016595182078366237,"('L1', 'Mi1')",False
41876,46991,Mi1,T4a,720575940637746493,720575940655109793,6.0,0.39999995,0.0,-48.0,0.18,3.8,-57.460396,-60.42398,0.0765920533231968,5.130043944354831,"('Mi1', 'T4a')",False
16880,37655,L5,L1,720575940621548882,720575940633026980,38.0,0.20000006,0.0,-45.0,0.1,4.0,-41.894115,-39.051712,0.6849190598942514,3.150809354106768,"('L5', 'L1')",False
22848,18371,Mi9,T4a,720575940624623911,720575940622286625,10.0,1.9999999,-70.0,-40.0,0.03,3.5,-56.015244,-59.962257,0.010193252787100907,32.99355897789348,"('Mi9', 'T4a')",False
32586,37667,R1-6,L3,720575940629966183,720575940633042989,34.0,0.74999994,-72.0,-56.0,0.1,3.0,-77.86188,-58.575108,0.0006837101793278658,9.993162749296992,"('R1-6', 'L3')",True
36441,25604,R1-6,L3,720575940632257578,720575940626345293,20.0,0.74999994,-72.0,-56.0,0.1,3.0,-77.99891,-40.65441,0.0006532027066130315,9.993467824019595,"('R1-6', 'L3')",True
33701,31857,R1-6,L3,720575940630603642,720575940629535217,27.0,0.74999994,-72.0,-56.0,0.1,3.0,-0.20030282,-40.43009,0.9999999916407686,8.359231293613486e-08,"('R1-6', 'L3')",True
37284,32043,Mi1,T4a,720575940632769678,720575940629663938,5.0,0.39999995,0.0,-48.0,0.18,3.8,-57.96448,-60.423866,0.06772124172573897,5.179326229049072,"('Mi1', 'T4a')",False
34040,12268,L5,Mi1,720575940630790010,720575940618728606,38.0,0.49999997,0.0,-45.0,0.1,4.0,-41.89411,-56.53722,0.6849192696046686,3.1508072570026266,"('L5', 'Mi1')",False
2852,27036,Mi4,T4a,720575940610068270,720575940627066364,8.0,7.9999995,-72.0,-55.0,0.03,3.2,-60.481407,-59.7343,0.1527828096609145,28.240573642528858,"('Mi4', 'T4a')",False
20488,8386,Tm3,T4a,720575940623392148,720575940615800114,9.0,0.3000001,0.0,-44.0,0.3,3.2,-57.664707,-60.423904,0.013785986112621594,3.28737991566252,"('Tm3', 'T4a')",False
2823,30973,Mi1,T4a,720575940610007598,720575940628979892,12.0,0.39999995,0.0,-48.0,0.18,3.8,-54.526054,-60.423985,0.15220858831141637,4.709952100002116,"('Mi1', 'T4a')",False
41317,40343,L3,Mi1,720575940637029744,720575940635757168,7.0,0.3000001,0.0,-45.0,0.14,3.0,-43.61253,-58.340694,0.6136047257305942,2.7599662330309838,"('L3', 'Mi1')",False
9005,39270,Mi4,T4a,720575940616352578,720575940634622359,7.0,7.9999995,-72.0,-55.0,0.03,3.2,-59.732407,-60.423996,0.18559709834614616,27.146763995239255,"('Mi4', 'T4a')",False
20166,25822,Tm3,T4a,720575940623211022,720575940626462768,5.0,0.3000001,0.0,-44.0,0.3,3.2,-57.71661,-59.095142,0.01356719577267246,3.2881092167667036,"('Tm3', 'T4a')",False
5925,19701,L5,Tm3,720575940613576470,720575940622993131,9.0,0.49999997,0.0,-45.0,0.1,4.0,-51.863686,-55.265102,0.1523972633847893,8.476027239849458,"('L5', 'Tm3')",False
36113,3474,R1-6,L1,720575940632047658,720575940611088482,39.0,1.1999998,-72.0,-56.0,0.1,3.0,-77.806145,-62.734352,0.0006965216430156531,9.993034634662022,"('R1-6', 'L1')",True
5460,9946,Mi1,T4a,720575940613127574,720575940617127353,17.0,0.39999995,0.0,-48.0,0.18,3.8,-58.366467,-60.423996,0.06134020715049204,5.214776419725114,"('Mi1', 'T4a')",False
44692,31210,Tm3,T4a,720575940642081440,720575940629120732,5.0,0.3000001,0.0,-44.0,0.3,3.2,-9.859308,-47.121983,0.9999767449795629,7.751673171008271e-05,"('Tm3', 'T4a')",False
28487,26036,R1-6,L3,720575940627736701,720575940626588700,40.0,0.74999994,-72.0,-56.0,0.1,3.0,-27.478062,-1.071929,0.999925699069032,0.0007430092986088189,"('R1-6', 'L3')",True
5294,38300,R1-6,L1,720575940612981683,720575940633568924,45.0,1.1999998,-72.0,-56.0,0.1,3.0,-35.270004,-39.28041,0.9990032351297224,0.009967648554246018,"('R1-6', 'L1')",True
45226,35659,L5,L1,720575940643871540,720575940631730402,42.0,0.20000006,0.0,-45.0,0.1,4.0,-41.894108,-15.728782,0.6849194793152142,3.1508051598972022,"('L5', 'L1')",False
39843,25126,R1-6,L3,720575940635234400,720575940626024122,15.0,0.74999994,-72.0,-56.0,0.1,3.0,-0.06464059,-5.5891194,0.9999999920103636,7.989636277866327e-08,"('R1-6', 'L3')",True
19894,39699,L3,Mi9,720575940623097121,720575940635114687,87.0,0.3000001,0.0,-45.0,0.12,3.0,-39.975277,-3.4356463,0.8422290423863114,1.3147580095012037,"('L3', 'Mi9')",False
40182,771,L1,Tm3,720575940635607220,720575940605853542,7.0,0.3000001,-70.0,-45.0,0.1,4.0,-0.08188688,-58.51012,0.999986723854634,0.00013276145168118032,"('L1', 'Tm3')",False
26998,39793,R1-6,L3,720575940627051108,720575940635195804,15.0,0.74999994,-72.0,-56.0,0.1,3.0,-26.828266,-15.526322,0.9999401680728012,0.0005983192630726273,"('R1-6', 'L3')",True
35627,1493,L5,Tm3,720575940631711628,720575940607340555,5.0,0.49999997,0.0,-45.0,0.1,4.0,-63.17669,-59.091854,0.010517180286449374,9.894828049691078,"('L5', 'Tm3')",False
