raw_type,n_neurons,resolved_type,param_source,fallback_target,dominant_nt
LTe68,5,LTe68,nt:unknown,,unknown
Sm29,5,Sm29,nt:glutamate,,glutamate
aMe4,5,aMe4,nt:acetylcholine,,acetylcholine
Dm17,4,Dm17,nt:glutamate,,glutamate
LC35,4,LC35,nt:acetylcholine,,acetylcholine
LC39,4,LC39,nt:glutamate,,glutamate
LCe08,4,LCe08,nt:unknown,,unknown
LPT31,4,LPT31,nt:acetylcholine,,acetylcholine
LT53,4,LT53,nt:acetylcholine,,acetylcholine
LT70,4,LT70,nt:gaba,,gaba
LT78,4,LT78,nt:glutamate,,glutamate
LTe38a,4,LTe38a,nt:acetylcholine,,acetylcholine
LTe43,4,LTe43,nt:acetylcholine,,acetylcholine
LTe65,4,LTe65,nt:acetylcholine,,acetylcholine
Li26,4,Li26,nt:gaba,,gaba
MTe09,4,MTe09,nt:glutamate,,glutamate
MTe10,4,MTe10,nt:glutamate,,glutamate
Sm11,4,Sm11,nt:acetylcholine,,acetylcholine
Sm24,4,Sm24,nt:glutamate,,glutamate
VST2,4,VST2,nt:acetylcholine,,acetylcholine
cL02b,4,cL02b,nt:gaba,,gaba
cL03,4,cL03,nt:gaba,,gaba
s-LNv,4,s-LNv,nt:unknown,,unknown
AN_multi_124,3,AN_multi_124,nt:acetylcholine,,acetylcholine
LLPC4,3,LLPC4,nt:acetylcholine,,acetylcholine
LPT23,3,LPT23,nt:acetylcholine,,acetylcholine
LT77,3,LT77,nt:glutamate,,glutamate
LT82,3,LT82,nt:acetylcholine,,acetylcholine
LTe32,3,LTe32,nt:glutamate,,glutamate
LTe49c,3,LTe49c,nt:acetylcholine,,acetylcholine
LTe63,3,LTe63,nt:gaba,,gaba
LTe66,3,LTe66,nt:acetylcholine,,acetylcholine
Li20,3,Li20,nt:gaba,,gaba
MC65,3,MC65,nt:acetylcholine,,acetylcholine
MTe11,3,MTe11,nt:glutamate,,glutamate
MTe12,3,MTe12,nt:acetylcholine,,acetylcholine
MTe13,3,MTe13,nt:glutamate,,glutamate
Sm28,3,Sm28,nt:acetylcholine,,acetylcholine
Sm33,3,Sm33,nt:gaba,,gaba
Sm35,3,Sm35,nt:gaba,,gaba
Sm36,3,Sm36,nt:gaba,,gaba
aMe12,3,aMe12,nt:acetylcholine,,acetylcholine
aMe26,3,aMe26,nt:acetylcholine,,acetylcholine
cL02a,3,cL02a,nt:gaba,,gaba
cL02c,3,cL02c,nt:glutamate,,glutamate
cL18,3,cL18,nt:gaba,,gaba
cLLPM01,3,cLLPM01,nt:glutamate,,glutamate
cM03,3,cM03,nt:da,,da
cM04,3,cM04,nt:glutamate,,glutamate
cM08c,3,cM08c,nt:glutamate,,glutamate
cM09,3,cM09,nt:glutamate,,glutamate
CB3089,2,CB3089,nt:unknown,,unknown
DN1a,2,DN1a,nt:glutamate,,glutamate
LC10f,2,LC10f,nt:glutamate,,glutamate
LC44,2,LC44,nt:acetylcholine,,acetylcholine
LM102a_L234-M89,2,LM102a_L234-M89,nt:glutamate,,glutamate
LPi14,2,LPi14,nt:gaba,,gaba
LT38,2,LT38,nt:gaba,,gaba
LT43,2,LT43,nt:gaba,,gaba
LT63,2,LT63,nt:acetylcholine,,acetylcholine
LT64,2,LT64,nt:acetylcholine,,acetylcholine
LT68,2,LT68,nt:gaba,,gaba
LT73,2,LT73,nt:glutamate,,glutamate
LT74,2,LT74,nt:glutamate,,glutamate
LT80,2,LT80,nt:acetylcholine,,acetylcholine
LTe01,2,LTe01,nt:acetylcholine,,acetylcholine
LTe02,2,LTe02,nt:acetylcholine,,acetylcholine
LTe03,2,LTe03,nt:acetylcholine,,acetylcholine
LTe33,2,LTe33,nt:acetylcholine,,acetylcholine
LTe37,2,LTe37,nt:acetylcholine,,acetylcholine
LTe38b,2,LTe38b,nt:acetylcholine,,acetylcholine
LTe47,2,LTe47,nt:glutamate,,glutamate
LTe49a,2,LTe49a,nt:acetylcholine,,acetylcholine
LTe49b,2,LTe49b,nt:acetylcholine,,acetylcholine
LTe49d,2,LTe49d,nt:acetylcholine,,acetylcholine
LTe49f,2,LTe49f,nt:acetylcholine,,acetylcholine
LTe50,2,LTe50,nt:gaba,,gaba
LTe54,2,LTe54,nt:acetylcholine,,acetylcholine
LTe67,2,LTe67,nt:acetylcholine,,acetylcholine
Li124_56,2,Li124_56,nt:glutamate,,glutamate
Li19,2,Li19,nt:gaba,,gaba
Li25,2,Li25,nt:gaba,,gaba
Li27,2,Li27,nt:glutamate,,glutamate
Li28,2,Li28,nt:glutamate,,glutamate
MTe14,2,MTe14,nt:gaba,,gaba
MTe15,2,MTe15,nt:acetylcholine,,acetylcholine
MTe16,2,MTe16,nt:glutamate,,glutamate
MTe17,2,MTe17,nt:acetylcholine,,acetylcholine
Nod1,2,Nod1,nt:acetylcholine,,acetylcholine
OA-AL2i2,2,OA-AL2i2,nt:oct,,oct
OA-AL2i3,2,OA-AL2i3,nt:oct,,oct
PLP231,2,PLP231,nt:acetylcholine,,acetylcholine
Pm12,2,Pm12,nt:gaba,,gaba
Pm14,2,Pm14,nt:gaba,,gaba
Sm38,2,Sm38,nt:gaba,,gaba
Sm40,2,Sm40,nt:gaba,,gaba
VST1,2,VST1,nt:acetylcholine,,acetylcholine
VSm,2,VSm,nt:acetylcholine,,acetylcholine
aMe1,2,aMe1,nt:gaba,,gaba
aMe17b,2,aMe17b,nt:gaba,,gaba
aMe17c,2,aMe17c,nt:gaba,,gaba
aMe8,2,aMe8,nt:acetylcholine,,acetylcholine
cL04,2,cL04,nt:acetylcholine,,acetylcholine
cL16,2,cL16,nt:da,,da
cL21,2,cL21,nt:gaba,,gaba
cLLP02,2,cLLP02,nt:da,,da
cM08a,2,cM08a,nt:ser,,ser
cM08b,2,cM08b,nt:glutamate,,glutamate
cMLLP02,2,cMLLP02,nt:acetylcholine,,acetylcholine
mALC6,2,mALC6,nt:gaba,,gaba
s-CPDN3A,2,s-CPDN3A,nt:unknown,,unknown
5-HTPMPV01,1,5-HTPMPV01,nt:ser,,ser
5th-LNv,1,5th-LNv,nt:glutamate,,glutamate
AOTU026,1,AOTU026,nt:unknown,,unknown
AOTU054,1,AOTU054,nt:gaba,,gaba
AOTU065,1,AOTU065,nt:acetylcholine,,acetylcholine
AVLP151,1,AVLP151,nt:acetylcholine,,acetylcholine
AVLP534,1,AVLP534,nt:acetylcholine,,acetylcholine
AVLP593,1,AVLP593,nt:da,,da
Am1,1,Am1,nt:gaba,,gaba
CB0143,1,CB0143,nt:glutamate,,glutamate
CB0734,1,CB0734,nt:acetylcholine,,acetylcholine
CB0802,1,CB0802,nt:glutamate,,glutamate
CB1329,1,CB1329,nt:gaba,,gaba
CB2685,1,CB2685,nt:unknown,,unknown
CB2848,1,CB2848,nt:acetylcholine,,acetylcholine
CB3235,1,CB3235,nt:acetylcholine,,acetylcholine
CB3238,1,CB3238,nt:acetylcholine,,acetylcholine
CB3790,1,CB3790,nt:unknown,,unknown
CB3866,1,CB3866,nt:acetylcholine,,acetylcholine
CL104,1,CL104,nt:acetylcholine,,acetylcholine
CT1,1,CT1,nt:gaba,,gaba
DCH,1,DCH,nt:gaba,,gaba
DGI,1,DGI,nt:ser,,ser
DN1-l,1,DN1-l,nt:glutamate,,glutamate
DNc01,1,DNc01,nt:acetylcholine,,acetylcholine
DNc02,1,DNc02,nt:da,,da
DNg33,1,DNg33,nt:acetylcholine,,acetylcholine
DNp11,1,DNp11,nt:acetylcholine,,acetylcholine
