t,ms,cost_t,gt_aff_mean,gt_mean,sel_mean,SSE_t,POWER_t
85,425,46.3022954335,-4.7278360051,-7.3418696882,-1.1079988404e-08,5643.8549049752,12189.1471084310
86,430,45.7260000515,-4.6366066514,-7.2455196975,-1.0806342670e-08,5428.2803612059,11871.3212507023
87,435,45.1457296131,-4.5465745321,-7.1504341412,-1.0539455339e-08,5219.6510832104,11561.7825383419
88,440,44.5615300092,-4.4577239360,-7.0565964260,-1.0279159496e-08,5017.7685984365,11260.3148890885
89,445,43.9734503847,-4.3700393574,-6.9639901762,-1.0025292349e-08,4822.4398373255,10966.7078547163
90,450,43.3815432519,-4.2835054947,-6.8725992310,-9.7776951275e-09,4633.4769894728,10680.7564741758
91,455,42.7858646088,-4.1981072465,-6.7824076415,-9.5362129797e-09,4450.6973635708,10402.2611305538
92,460,42.1864740597,-4.1138297099,-6.6933996684,-9.3006948787e-09,4273.9232510362,10131.0274117551
93,465,41.5834349397,-4.0306581775,-6.6055597787,-9.0709935270e-09,4102.9817932264,9866.8659748105
94,470,40.9768144436,-3.9485781348,-6.5188726432,-8.8469652648e-09,3937.7048521536,9609.5924137181
95,475,40.3666837571,-3.8675752579,-6.4333231341,-8.6284699799e-09,3777.9288846024,9359.0271307273
96,480,39.7531181937,-3.7876354108,-6.3488963217,-8.4153710203e-09,3623.4948195666,9114.9952109752
97,485,39.1361973341,-3.7087446429,-6.2655774727,-8.2075351086e-09,3474.2479389147,8877.3263003906
98,490,38.5160051710,-3.6308891869,-6.1833520468,-8.0048322590e-09,3330.0377612022,8645.8544867792
99,495,37.8926302569,-3.5540554559,-6.1022056947,-7.8071356958e-09,3190.7179285481,8420.4181840088
100,500,37.2661658574,-3.4782300416,-6.0221242553,-7.6143217742e-09,3056.1460964946,8200.8600192121
101,505,36.6367101086,-3.4033997115,-5.9430937534,-7.4262699029e-09,2926.1838267732,7987.0267229313
102,510,36.0043661784,-3.3295514066,-5.8651003972,-7.2428624690e-09,2800.6964828991,7778.7690221254
103,515,35.3692424341,-3.2566722396,-5.7881305758,-7.0639847641e-09,2679.5531285230,7575.9415359677
104,520,34.7314526133,-3.1847494921,-5.7121708570,-6.8895249129e-09,2562.6264284644,7378.4026743588
105,525,34.0911160009,-3.1137706126,-5.6372079849,-6.7193738030e-09,2449.7925523589,7186.0145390870
106,530,33.4483576106,-3.0437232145,-5.5632288775,-6.5534250169e-09,2340.9310808494,6998.6428275643
107,535,32.8033083723,-2.9745950735,-5.4902206246,-6.3915747651e-09,2235.9249142554,6816.1567390733
108,540,32.1561053245,-2.9063741261,-5.4181704852,-6.2337218218e-09,2134.6601836545,6638.4288834579
109,545,31.5068918124,-2.8390484666,-5.3470658856,-6.0797674610e-09,2037.0261643139,6465.3351921951
110,550,30.8558176920,-2.7726063460,-5.2768944173,-5.9296153951e-09,1942.9151914091,6296.7548317854
111,555,30.2030395398,-2.7070361692,-5.2076438344,-5.7831717145e-09,1852.2225779706,6132.5701194010
112,560,29.5487208688,-2.6423264934,-5.1393020519,-5.6403448292e-09,1764.8465349995,5972.6664407342
113,565,28.8930323508,-2.5784660259,-5.0718571430,-5.5010454110e-09,1680.6880936962,5816.9321699875
114,570,28.2361520446,-2.5154436224,-5.0052973380,-5.3651863382e-09,1599.6510297448,5665.2585919492
115,575,27.5782656321,-2.4532482845,-4.9396110213,-5.2326826407e-09,1521.6417896012,5517.5398261020
116,580,26.9195666595,-2.3918691583,-4.8747867296,-5.1034514472e-09,1446.5694187311,5373.6727527094
117,585,26.2602567868,-2.3312955325,-4.8108131505,-4.9774119328e-09,1374.3454917469,5233.5569408303
118,590,25.6005460439,-2.2715168362,-4.7476791197,-4.8544852694e-09,1304.8840443941,5097.0945782095
119,595,24.9406530940,-2.2125226373,-4.6853736194,-4.7345945752e-09,1238.1015073377,4964.1904029969
120,600,24.2808055053,-2.1543026404,-4.6238857766,-4.6176648679e-09,1173.9166417025,4834.7516372474
121,605,23.6212400292,-2.0968466854,-4.5632048609,-4.5036230167e-09,1112.2504763200,4708.6879221539
122,610,22.9622028882,-2.0401447456,-4.5033202827,-4.3923976971e-09,1053.0262466380,4585.9112549697
123,615,22.3039500701,-1.9841869258,-4.4442215913,-4.2839193464e-09,996.1693352489,4466.3359275754
124,620,21.6467476325,-1.9289634605,-4.3858984733,-4.1781201199e-09,941.6072139935,4349.8784666476
125,625,20.9908720145,-1.8744647127,-4.3283407506,-4.0749338485e-09,889.2693876003,4236.4575753878
126,630,20.3366103588,-1.8206811715,-4.2715383785,-3.9742959975e-09,839.0873388185,4125.9940767707
127,635,19.6842608410,-1.7676034510,-4.2154814444,-3.8761436261e-09,790.9944750063,4018.4108582718
128,640,19.0341330107,-1.7152222886,-4.1601601656,-3.7804153480e-09,744.9260761359,3913.6328180371
129,645,18.3865481402,-1.6635285430,-4.1055648879,-3.6870512930e-09,700.8192441781,3811.5868124555
130,650,17.7418395845,-1.6125131930,-4.0516860836,-3.5959930699e-09,658.6128538302,3712.2016050987
131,655,17.1003531509,-1.5621673358,-3.9985143502,-3.5071837294e-09,618.2475045514,3615.4078169926
132,660,16.4624474794,-1.5124821853,-3.9460404086,-3.4205677288e-09,579.6654738722,3521.1378781846
133,665,15.8284944335,-1.4634490710,-3.8942551014,-3.3360908974e-09,542.8106719436,3429.3259805750
134,670,15.1988795031,-1.4150594359,-3.8431493914,-3.2537004024e-09,507.6285972934,3339.9080319767
135,675,14.5740022171,-1.3673048353,-3.7927143600,-3.1733447157e-09,474.0662937586,3252.8216113746
136,680,13.9542765695,-1.3201769356,-3.7429412057,-3.0949735822e-09,442.0723085621,3168.0059253498
137,685,13.3401314567,-1.2736675122,-3.6938212424,-3.0185379877e-09,411.5966515040,3085.4017656413
138,690,12.7320111268,-1.2277684487,-3.6453458980,-2.9439901289e-09,382.5907552380,3004.9514678138
139,695,12.1303756426,-1.1824717351,-3.5975067130,-2.8712833829e-09,355.0074366046,2926.5988710028
140,700,11.5357013567,-1.1377694666,-3.5502953388,-2.8003722785e-09,328.8008589928,2850.2892787105
141,705,10.9484814006,-1.0936538420,-3.5037035364,-2.7312124676e-09,303.9264957040,2775.9694206225
142,710,10.3692261878,-1.0501171626,-3.4577231750,-2.6637606972e-09,280.3410942902,2703.5874154210
143,715,9.7984639301,-1.0071518307,-3.4123462305,-2.5979747829e-09,258.0026418434,2633.0927345675
144,720,9.2367411696,-0.9647503483,-3.3675647839,-2.5338135820e-09,236.8703312076,2564.4361670298
145,725,8.6846233247,-0.9229053159,-3.3233710203,-2.4712369679e-09,216.9045280931,2497.5697849285
146,730,8.1426952524,-0.8816094308,-3.2797572274,-2.4102058053e-09,198.0667390652,2432.4469100796
147,735,7.6115618256,-0.8408554865,-3.2367157940,-2.3506819254e-09,180.3195803885,2369.0220814090
148,740,7.0918485268,-0.8006363708,-3.1942392088,-2.2926281018e-09,163.6267477001,2307.2510232175
149,745,6.5842020590,-0.7609450651,-3.1523200590,-2.2360080281e-09,147.9529864929,2247.0906142724
150,750,6.0892909730,-0.7217746426,-3.1109510294,-2.1807862941e-09,133.2640633865,2188.4988577054
151,755,5.6078063127,-0.6831182677,-3.0701249004,-2.1269283645e-09,119.5267381646,2131.4348516954
152,760,5.1404622785,-0.6449691943,-3.0298345474,-2.0744005568e-09,106.7087365593,2075.8587609158
153,765,4.6879969089,-0.6073207649,-2.9900729391,-2.0231700204e-09,94.7787237622,2021.7317887258
154,770,4.2511727819,-0.5701664093,-2.9508331368,-1.9732047162e-09,83.7062786438,1969.0161500878
