cell,intensity_from,intensity_to,branch,time_s,vm_mv
Mi1,0.1,0.5,negative,3.275,-5.945945945945946
Mi1,0.1,0.5,positive,3.3,6.486486486486486
Mi1,0.1,0.5,negative,3.3,-5.945945945945946
Mi1,0.1,0.5,positive,3.325,6.486486486486486
Mi1,0.1,0.5,negative,3.325,-5.405405405405405
Mi1,0.1,0.5,positive,3.35,7.027027027027026
Mi1,0.1,0.5,negative,3.35,-5.405405405405405
Mi1,0.1,0.5,positive,3.375,7.297297297297297
Mi1,0.1,0.5,negative,3.375,-5.405405405405405
Mi1,0.1,0.5,positive,3.4,7.027027027027026
Mi1,0.1,0.5,negative,3.4,-5.405405405405405
Mi1,0.1,0.5,positive,3.425,7.027027027027026
Mi1,0.1,0.5,negative,3.425,-5.135135135135135
Mi1,0.1,0.5,positive,3.45,7.027027027027026
Mi1,0.1,0.5,negative,3.45,-5.135135135135135
Mi1,0.1,0.5,positive,3.475,7.027027027027026
Mi1,0.1,0.5,negative,3.475,-5.405405405405405
Mi1,0.1,0.5,positive,3.5,6.486486486486486
Mi1,0.1,0.5,negative,3.5,-5.135135135135135
Mi1,0.1,0.5,positive,3.525,6.486486486486486
Mi1,0.1,0.5,negative,3.525,-5.135135135135135
Mi1,0.1,0.5,positive,3.55,6.486486486486486
Mi1,0.1,0.5,negative,3.55,-5.135135135135135
Mi1,0.1,0.5,positive,3.575,5.945945945945946
Mi1,0.1,0.5,negative,3.575,-5.135135135135135
Mi1,0.1,0.5,positive,3.6,5.945945945945946
Mi1,0.1,0.5,negative,3.6,-4.864864864864865
Mi1,0.1,0.5,positive,3.625,6.216216216216216
Mi1,0.1,0.5,negative,3.625,-4.864864864864865
Mi1,0.1,0.5,positive,3.65,6.756756756756756
Mi1,0.1,0.5,negative,3.65,-4.594594594594595
Mi1,0.1,0.5,positive,3.675,7.297297297297297
Mi1,0.1,0.5,negative,3.675,-4.864864864864865
Mi1,0.1,0.5,positive,3.7,8.108108108108107
Mi1,0.1,0.5,negative,3.7,-4.864864864864865
Mi1,0.1,0.5,positive,3.725,8.108108108108107
Mi1,0.1,0.5,negative,3.725,-4.864864864864865
Mi1,0.1,0.5,positive,3.75,7.5675675675675675
Mi1,0.1,0.5,negative,3.75,-4.864864864864865
Mi1,0.1,0.5,positive,3.775,7.5675675675675675
Mi1,0.1,0.5,negative,3.775,-5.135135135135135
Mi1,0.1,0.5,positive,3.8,7.5675675675675675
Mi1,0.1,0.5,negative,3.8,-5.135135135135135
Mi1,0.1,0.5,positive,3.825,7.837837837837838
Mi1,0.1,0.5,negative,3.825,-5.135135135135135
Mi1,0.1,0.5,positive,3.85,7.5675675675675675
Mi1,0.1,0.5,negative,3.85,-5.135135135135135
Mi1,0.1,0.5,positive,3.875,7.5675675675675675
Mi1,0.1,0.5,negative,3.875,-4.864864864864865
Mi1,0.1,0.5,positive,3.9,7.837837837837838
Mi1,0.1,0.5,negative,3.9,-4.864864864864865
Mi1,0.1,0.5,positive,3.925,8.108108108108107
Mi1,0.1,0.5,negative,3.925,-4.864864864864865
Mi1,0.1,0.5,positive,3.95,7.5675675675675675
Mi1,0.1,0.5,negative,3.95,-4.864864864864865
Mi1,0.1,0.5,positive,3.975,7.297297297297297
Mi1,0.1,0.5,negative,3.975,-5.405405405405405
Mi1,0.1,0.5,positive,4.0,6.756756756756756
Mi1,0.1,0.5,negative,4.0,-5.405405405405405
Mi1,0.1,0.5,positive,4.025,6.756756756756756
Mi1,0.1,0.5,negative,4.025,-5.675675675675675
Mi1,0.1,0.5,positive,4.05,6.756756756756756
Mi1,0.1,0.5,negative,4.05,-5.675675675675675
Mi1,0.1,0.5,positive,4.075,6.486486486486486
Mi1,0.1,0.5,negative,4.075,-5.405405405405405
Mi1,0.1,0.5,positive,4.1,6.216216216216216
Mi1,0.1,0.5,negative,4.1,-5.405405405405405
Mi1,0.1,0.5,positive,4.125,5.945945945945946
Mi1,0.1,0.5,negative,4.125,-5.405405405405405
Mi1,0.1,0.5,positive,4.15,5.945945945945946
Mi1,0.1,0.5,negative,4.15,-5.405405405405405
Mi1,0.1,0.5,positive,4.175,5.945945945945946
Mi1,0.1,0.5,negative,4.175,-5.945945945945946
Mi1,0.1,0.5,positive,4.2,5.945945945945946
Mi1,0.1,0.5,negative,4.2,-5.945945945945946
Mi1,0.1,0.5,positive,4.225,6.216216216216216
Mi1,0.1,0.5,negative,4.225,-5.945945945945946
Mi1,0.1,0.5,positive,4.25,6.756756756756756
Mi1,0.1,0.5,negative,4.25,-5.945945945945946
Mi1,0.1,0.5,positive,4.275,6.756756756756756
Mi1,0.1,0.5,negative,4.275,-5.945945945945946
Mi1,0.1,0.5,positive,4.3,6.486486486486486
Mi1,0.1,0.5,negative,4.3,-5.675675675675675
Mi1,0.1,0.5,positive,4.325,6.486486486486486
Mi1,0.1,0.5,negative,4.325,-5.675675675675675
Mi1,0.1,0.5,positive,4.35,7.5675675675675675
Mi1,0.1,0.5,negative,4.35,-5.675675675675675
Mi1,0.1,0.5,positive,4.375,8.108108108108107
Mi1,0.1,0.5,negative,4.375,-5.675675675675675
Mi1,0.1,0.5,positive,4.4,8.108108108108107
Mi1,0.1,0.5,negative,4.4,-5.405405405405405
Mi1,0.1,0.5,positive,4.425,7.837837837837838
Mi1,0.1,0.5,negative,4.425,-5.405405405405405
Mi1,0.1,0.5,positive,4.45,6.756756756756756
Mi1,0.1,0.5,negative,4.45,-5.405405405405405
Mi1,0.1,0.5,positive,4.475,6.216216216216216
Mi1,0.1,0.5,negative,4.475,-5.405405405405405
Mi1,0.1,0.5,positive,4.5,6.216216216216216
Mi1,0.1,0.5,negative,4.5,-5.135135135135135
Mi1,0.5,0.9,positive,-0.925,1.081081081081081
Mi1,0.5,0.9,positive,-0.9,1.081081081081081
Mi1,0.5,0.9,positive,-0.875,0.5405405405405405
Mi1,0.5,0.9,negative,-0.875,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.85,0.27027027027027023
Mi1,0.5,0.9,negative,-0.85,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.825,1.6216216216216215
Mi1,0.5,0.9,positive,-0.8,1.081081081081081
Mi1,0.5,0.9,negative,-0.8,-1.081081081081081
Mi1,0.5,0.9,positive,-0.775,0.5405405405405405
Mi1,0.5,0.9,negative,-0.775,-1.081081081081081
Mi1,0.5,0.9,positive,-0.75,0.5405405405405405
Mi1,0.5,0.9,negative,-0.75,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.725,0.5405405405405405
Mi1,0.5,0.9,negative,-0.725,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.7,0.27027027027027023
Mi1,0.5,0.9,negative,-0.7,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.675,0.27027027027027023
Mi1,0.5,0.9,negative,-0.675,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.65,0.27027027027027023
Mi1,0.5,0.9,negative,-0.65,-0.27027027027027023
Mi1,0.5,0.9,negative,-0.625,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.6,1.081081081081081
Mi1,0.5,0.9,negative,-0.6,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.575,1.3513513513513513
Mi1,0.5,0.9,negative,-0.575,-0.8108108108108107
Mi1,0.5,0.9,positive,-0.55,1.3513513513513513
Mi1,0.5,0.9,negative,-0.55,-0.8108108108108107
Mi1,0.5,0.9,positive,-0.525,0.27027027027027023
Mi1,0.5,0.9,negative,-0.525,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.5,0.27027027027027023
Mi1,0.5,0.9,negative,-0.5,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.475,0.5405405405405405
Mi1,0.5,0.9,negative,-0.475,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.45,0.27027027027027023
Mi1,0.5,0.9,negative,-0.45,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.425,0.27027027027027023
Mi1,0.5,0.9,negative,-0.425,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.4,0.27027027027027023
Mi1,0.5,0.9,negative,-0.4,-1.8918918918918919
Mi1,0.5,0.9,positive,-0.375,0.27027027027027023
Mi1,0.5,0.9,negative,-0.375,-1.6216216216216215
Mi1,0.5,0.9,positive,-0.35,1.6216216216216215
Mi1,0.5,0.9,negative,-0.35,-1.081081081081081
Mi1,0.5,0.9,positive,-0.325,0.27027027027027023
Mi1,0.5,0.9,negative,-0.325,-1.3513513513513513
Mi1,0.5,0.9,positive,-0.3,0.27027027027027023
Mi1,0.5,0.9,negative,-0.3,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.275,0.27027027027027023
Mi1,0.5,0.9,negative,-0.275,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.25,0.27027027027027023
Mi1,0.5,0.9,negative,-0.25,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.225,0.5405405405405405
Mi1,0.5,0.9,negative,-0.225,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.2,0.5405405405405405
Mi1,0.5,0.9,negative,-0.2,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.175,0.27027027027027023
Mi1,0.5,0.9,negative,-0.175,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.15,0.27027027027027023
Mi1,0.5,0.9,negative,-0.15,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.125,0.27027027027027023
Mi1,0.5,0.9,negative,-0.125,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.1,0.5405405405405405
Mi1,0.5,0.9,negative,-0.1,-0.27027027027027023
Mi1,0.5,0.9,positive,-0.075,0.5405405405405405
