trace_id,source_trace_id,cell_type,contrast,source_position,position,rf_side,color,source_width_led,source_width_deg,target_width_led,target_width_deg,depolarization_ratio,hyperpolarization_ratio,scale_factor,scale_source,time_ms,source_vm_mv,vm_mv
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-35.000000000,0.153356000,0.080011830
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-30.000000000,0.075231000,0.039250958
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-25.000000000,0.033275000,0.017360870
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-20.000000000,0.023148000,0.012077218
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-15.000000000,0.023148000,0.012077218
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-10.000000000,0.015914000,0.008302957
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-5.000000000,-0.003617000,-0.001887131
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,0.000000000,-0.023148000,-0.012077218
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,5.000000000,-0.042679000,-0.022267305
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,10.000000000,-0.062211000,-0.032457915
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,15.000000000,-0.118634000,-0.061896003
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,20.000000000,-0.162037000,-0.084541048
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,25.000000000,0.000000000,0.000000000
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,30.000000000,0.604745000,0.315519146
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,35.000000000,0.956308000,0.498943329
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,40.000000000,1.446759000,0.754830820
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,45.000000000,2.146991000,1.120169273
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,50.000000000,2.948495000,1.538345294
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,55.000000000,3.755787000,1.959541141
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,60.000000000,4.542824000,2.370169162
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,65.000000000,5.363137000,2.798158575
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,70.000000000,6.032986000,3.147645027
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,75.000000000,6.636285000,3.462409738
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,80.000000000,7.175926000,3.743961579
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,85.000000000,7.604167000,3.967391677
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,90.000000000,7.925347000,4.134963859
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,95.000000000,8.274016000,4.316878129
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,100.000000000,8.547454000,4.459541440
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,105.000000000,8.787616000,4.584843360
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,110.000000000,9.100116000,4.747886846
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,115.000000000,9.451678000,4.931310507
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,120.000000000,9.768519000,5.096618864
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,125.000000000,10.020255000,5.227959392
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,130.000000000,10.410880000,5.431763750
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,135.000000000,10.692998000,5.578955757
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,140.000000000,10.908565000,5.691425502
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,145.000000000,11.212384000,5.849939771
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,150.000000000,11.559606000,6.031099084
