trace_id,cell_type,cell_num,contrast,bar_val,width_led,duration_ms,position_led,extremum,response_mv,statistic,response_sd_mv,n_cells,response_sem_mv
B_T4_PC_w4_depolarization_cell,T4,8.000000,PC,1,4,160.000000,-6.000000,depolarization,2.939377,cell,,,
B_T4_PC_w4_depolarization_cell,T4,9.000000,PC,1,4,160.000000,-6.000000,depolarization,3.965523,cell,,,
B_T4_PC_w4_depolarization_cell,T4,11.000000,PC,1,4,160.000000,-6.000000,depolarization,7.943251,cell,,,
B_T4_PC_w4_depolarization_cell,T4,13.000000,PC,1,4,160.000000,-6.000000,depolarization,7.327136,cell,,,
B_T4_PC_w4_depolarization_cell,T4,14.000000,PC,1,4,160.000000,-6.000000,depolarization,13.719243,cell,,,
B_T4_PC_w4_depolarization_cell,T4,2.000000,PC,1,4,160.000000,-5.000000,depolarization,13.878161,cell,,,
B_T4_PC_w4_depolarization_cell,T4,3.000000,PC,1,4,160.000000,-5.000000,depolarization,9.710797,cell,,,
B_T4_PC_w4_depolarization_cell,T4,4.000000,PC,1,4,160.000000,-5.000000,depolarization,4.542832,cell,,,
B_T4_PC_w4_depolarization_cell,T4,6.000000,PC,1,4,160.000000,-5.000000,depolarization,4.424260,cell,,,
B_T4_PC_w4_depolarization_cell,T4,8.000000,PC,1,4,160.000000,-5.000000,depolarization,5.351148,cell,,,
B_T4_PC_w4_depolarization_cell,T4,9.000000,PC,1,4,160.000000,-5.000000,depolarization,6.867757,cell,,,
B_T4_PC_w4_depolarization_cell,T4,10.000000,PC,1,4,160.000000,-5.000000,depolarization,3.735349,cell,,,
B_T4_PC_w4_depolarization_cell,T4,11.000000,PC,1,4,160.000000,-5.000000,depolarization,15.101269,cell,,,
B_T4_PC_w4_depolarization_cell,T4,13.000000,PC,1,4,160.000000,-5.000000,depolarization,6.509561,cell,,,
B_T4_PC_w4_depolarization_cell,T4,14.000000,PC,1,4,160.000000,-5.000000,depolarization,12.354875,cell,,,
B_T4_PC_w4_depolarization_cell,T4,15.000000,PC,1,4,160.000000,-5.000000,depolarization,8.024086,cell,,,
B_T4_PC_w4_depolarization_cell,T4,16.000000,PC,1,4,160.000000,-5.000000,depolarization,6.243106,cell,,,
