cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
Mi14,720575940629450831,41,21,"2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1",490,-8.19,-6,-10,10.333,13,8,10.333,13.0,8.0,-3.024,-1.0,-4.5
Mi14,720575940629395203,4,3,"1, 1, 1",499,0.0,1,-1,-9.667,-8,-11,-9.667,-8.0,-11.0,-4.833,-3.0,-6.5
Mi14,720575940616347202,19,12,"2, 2, 2, 1, 1, 1, 1, 1, 1",508,-10.167,-9,-11,9.333,12,8,9.333,12.0,8.0,-5.5,-4.0,-7.0
Mi14,720575940605736364,5,1,1,512,6.0,6,6,-12.0,-12,-12,-12.0,-12.0,-12.0,0.0,0.0,0.0
Mi14,720575940636432014,29,15,"2, 2, 2, 2, 2, 2, 1, 1, 1",513,2.533,6,1,6.6,8,2,6.6,8.0,2.0,5.833,7.0,4.5
Mi14,720575940640543184,13,8,"2, 2, 1, 1, 1, 1",524,13.875,15,12,-8.0,-7,-9,-8.0,-7.0,-9.0,9.875,10.5,8.5
Mi14,720575940642771400,17,9,"2, 2, 1, 1, 1, 1, 1",524,14.444,16,13,-7.778,-7,-9,-7.778,-7.0,-9.0,10.556,11.5,9.5
Mi14,720575940631529669,38,17,"2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1",529,3.353,5,2,-3.588,-1,-6,-3.588,-1.0,-6.0,1.559,3.0,0.0
Mi14,720575940624707516,11,5,"1, 1, 1, 1, 1",533,8.2,9,6,0.6,3,-1,0.6,3.0,-1.0,8.5,9.5,7.5
Mi14,720575940613757992,24,13,"2, 2, 2, 2, 1, 1, 1, 1, 1",544,10.385,12,9,-6.538,-5,-8,-6.538,-5.0,-8.0,7.115,8.0,6.0
Mi14,720575940639805555,27,13,"2, 2, 2, 1, 1, 1, 1, 1, 1, 1",549,5.154,7,4,-0.692,2,-2,-0.692,2.0,-2.0,4.808,6.0,3.0
Mi14,720575940633939923,7,4,"2, 1, 1",561,1.5,2,1,-10.75,-10,-11,-10.75,-10.0,-11.0,-3.875,-3.5,-4.5
Mi14,720575940621811113,33,15,"3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1",562,-4.267,-3,-6,10.267,12,8,10.267,12.0,8.0,0.867,2.0,-1.0
Mi14,720575940607022281,33,18,"2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1",568,-2.333,0,-5,12.222,14,10,12.222,14.0,10.0,3.778,6.0,1.5
Mi14,720575940620501213,13,7,"2, 1, 1, 1, 1, 1",575,1.714,3,1,-12.714,-12,-14,-12.714,-12.0,-14.0,-4.643,-3.5,-5.5
Mi14,720575940615315921,34,15,"2, 2, 2, 2, 2, 1, 1, 1, 1, 1",576,-14.067,-13,-16,0.2,4,-2,0.2,4.0,-2.0,-13.967,-13.0,-15.0
Mi14,720575940627091077,17,5,"1, 1, 1, 1, 1",584,-6.6,-5,-8,-9.0,-8,-10,-9.0,-8.0,-10.0,-11.1,-10.0,-12.5
Mi14,720575940611209642,14,8,"2, 2, 2, 1, 1",585,10.875,12,10,1.625,3,0,1.625,3.0,0.0,11.688,12.5,11.0
Mi14,720575940614360978,30,13,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1",588,-1.077,1,-3,-2.077,0,-4,-2.077,0.0,-4.0,-2.115,-1.0,-3.5
Mi14,720575940612648029,15,8,"2, 2, 1, 1, 1, 1",600,7.625,9,6,-5.5,-4,-7,-5.5,-4.0,-7.0,4.875,6.0,4.0
Mi14,720575940627201417,21,10,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1",605,-3.9,-2,-6,-7.4,-5,-9,-7.4,-5.0,-9.0,-7.6,-6.0,-8.5
Mi14,720575940647537204,33,17,"3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1",616,-10.118,-8,-12,5.471,7,4,5.471,7.0,4.0,-7.382,-6.0,-9.5
Mi14,720575940643965856,31,14,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",618,-12.786,-12,-14,2.357,5,0,2.357,5.0,0.0,-11.607,-10.0,-13.0
Mi14,720575940653167606,25,11,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1",627,1.273,2,0,-1.0,1,-3,-1.0,1.0,-3.0,0.773,2.0,-0.5
Mi14,720575940636076383,17,11,"2, 2, 1, 1, 1, 1, 1, 1, 1",631,-12.364,-11,-14,-1.818,0,-4,-1.818,0.0,-4.0,-13.273,-12.0,-14.5
Mi14,720575940618674205,14,10,"2, 1, 1, 1, 1, 1, 1, 1, 1",634,4.9,6,3,4.7,6,3,4.7,6.0,3.0,7.25,8.5,6.0
Mi14,720575940629108858,34,16,"2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1",647,-0.25,1,-2,7.062,10,5,7.062,10.0,5.0,3.281,4.5,2.5
Mi14,720575940611008986,21,9,"2, 2, 2, 1, 1, 1",655,7.222,8,6,-13.111,-12,-14,-13.111,-12.0,-14.0,0.667,1.5,-0.5
Mi14,720575940622036769,13,8,"2, 1, 1, 1, 1, 1, 1",667,14.75,16,14,-2.125,0,-4,-2.125,0.0,-4.0,13.688,14.5,13.0
Mi14,720575940635716203,21,11,"2, 2, 2, 1, 1, 1, 1, 1",669,12.091,13,11,-8.455,-7,-10,-8.455,-7.0,-10.0,7.864,9.0,6.5
Mi14,720575940632093324,14,10,"2, 2, 1, 1, 1, 1, 1, 1",686,16.4,18,15,-10.3,-9,-12,-10.3,-9.0,-12.0,11.25,13.0,10.0
Mi14,720575940621828193,40,20,"2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",692,-16.2,-14,-18,7.7,10,6,7.7,10.0,6.0,-12.35,-9.5,-14.5
Mi14,720575940622713114,28,15,"2, 2, 2, 2, 2, 1, 1, 1, 1, 1",696,-10.067,-9,-13,4.067,6,2,4.067,6.0,2.0,-8.033,-7.0,-10.0
Mi14,720575940609773321,12,8,"1, 1, 1, 1, 1, 1, 1, 1",697,12.125,14,10,-2.5,-1,-4,-2.5,-1.0,-4.0,10.875,12.0,9.5
Mi14,720575940628933436,27,14,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",705,1.0,3,-1,-2.643,0,-5,-2.643,0.0,-5.0,-0.321,1.0,-1.5
Mi14,720575940612593301,21,9,"2, 2, 1, 1, 1, 1, 1",716,7.111,9,6,-7.556,-6,-9,-7.556,-6.0,-9.0,3.333,4.5,2.5
Mi14,720575940622822663,31,14,"2, 2, 2, 2, 2, 1, 1, 1, 1",716,6.643,9,5,-8.5,-7,-10,-8.5,-7.0,-10.0,2.393,4.0,1.5
Mi14,720575940626775055,32,22,"2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",733,4.455,8,2,8.5,11,6,8.5,11.0,6.0,8.705,11.0,6.5
Mi14,720575940613638297,22,12,"2, 2, 2, 1, 1, 1, 1, 1, 1",746,-3.75,-3,-5,4.5,7,3,4.5,7.0,3.0,-1.5,-0.5,-3.0
Mi14,720575940648476281,38,16,"2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1",749,-1.875,0,-4,3.438,6,1,3.438,6.0,1.0,-0.156,1.0,-1.5
Mi14,720575940631617363,7,2,"1, 1",750,15.5,16,15,-7.0,-6,-8,-7.0,-6.0,-8.0,12.0,12.0,12.0
Mi14,720575940621880496,26,16,"2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1",754,6.375,8,5,0.812,3,-1,0.812,3.0,-1.0,6.781,8.5,5.5
Mi14,720575940622217430,42,22,"2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",757,2.5,5,0,0.409,3,-2,0.409,3.0,-2.0,2.705,4.5,1.0
Mi14,720575940620817799,3,0,,,,,,,,,,,,,,
Mi14,720575940625572756,0,0,,,,,,,,,,,,,,
