cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
TmY3,720575940623719304,49,38,"7, 6, 6, 4, 4, 3, 3, 2, 1, 1, 1",684,-13.763,-11,-15,11.211,12,10,11.211,12.0,10.0,-8.158,-5.0,-10.0
TmY3,720575940621788705,41,34,"8, 8, 5, 3, 3, 2, 2, 2, 1",687,-3.588,-2,-5,10.735,12,9,10.735,12.0,9.0,1.779,3.0,0.5
TmY3,720575940620394223,57,43,"9, 7, 7, 5, 4, 4, 3, 1, 1, 1, 1",692,-15.791,-15,-18,8.163,10,6,8.163,10.0,6.0,-11.709,-10.0,-13.0
TmY3,720575940623956459,49,39,"9, 8, 6, 6, 6, 2, 1, 1",695,-10.923,-10,-13,11.692,13,11,11.692,13.0,11.0,-5.077,-4.0,-7.0
TmY3,720575940627303951,49,33,"6, 6, 6, 3, 3, 2, 2, 1, 1, 1, 1, 1",698,9.667,11,8,-13.121,-11,-15,-13.121,-11.0,-15.0,3.106,4.5,1.5
TmY3,720575940643507144,54,41,"9, 8, 7, 6, 2, 2, 2, 2, 1, 1, 1",699,-5.488,-4,-7,9.829,11,7,9.829,11.0,7.0,-0.573,0.5,-2.0
TmY3,720575940608597340,56,44,"8, 7, 6, 5, 4, 4, 3, 2, 1, 1, 1, 1, 1",700,-2.0,0,-4,-11.159,-9,-13,-11.159,-9.0,-13.0,-7.58,-6.0,-9.0
TmY3,720575940613467042,54,40,"7, 7, 7, 5, 5, 5, 2, 1, 1",703,-3.225,-2,-4,4.55,6,3,4.55,6.0,3.0,-0.95,0.5,-2.0
TmY3,720575940607042226,46,35,"7, 7, 7, 4, 3, 2, 2, 1, 1, 1",704,-11.314,-10,-13,14.457,16,13,14.457,16.0,13.0,-4.086,-2.0,-6.0
TmY3,720575940630258587,49,40,"7, 7, 7, 7, 3, 3, 1, 1, 1, 1, 1, 1",704,-10.65,-10,-12,13.5,15,12,13.5,15.0,12.0,-3.9,-2.5,-6.0
TmY3,720575940612811121,69,53,"9, 8, 7, 6, 4, 4, 4, 3, 2, 1, 1, 1, 1, 1, 1",705,0.547,2,-2,-2.509,0,-4,-2.509,0.0,-4.0,-0.708,0.5,-3.0
TmY3,720575940622965213,34,24,"8, 6, 4, 2, 2, 1, 1",707,-13.917,-13,-15,2.708,4,1,2.708,4.0,1.0,-12.562,-11.5,-13.5
TmY3,720575940616227003,39,30,"8, 5, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1",709,9.5,12,8,4.433,7,3,4.433,7.0,3.0,11.717,13.5,10.5
TmY3,720575940619648926,17,12,"4, 3, 1, 1, 1, 1, 1",710,16.667,18,16,-9.0,-8,-10,-9.0,-8.0,-10.0,12.167,13.5,11.0
