cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
Tm5b,720575940618353492,8,4,"2, 2",590,-3.5,-3,-4,-3.0,-3,-3,-3.0,-3.0,-3.0,-5.0,-4.5,-5.5
Tm5b,720575940627859599,14,3,"2, 1",591,4.667,5,4,-6.667,-6,-7,-6.667,-6.0,-7.0,1.333,1.5,1.0
Tm5b,720575940638263012,20,4,"2, 2",593,10.0,10,10,-5.5,-5,-6,-5.5,-5.0,-6.0,7.25,7.5,7.0
Tm5b,720575940626848783,12,2,"1, 1",595,12.5,13,12,-13.5,-13,-14,-13.5,-13.0,-14.0,5.75,6.0,5.5
Tm5b,720575940612628186,17,4,"1, 1, 1, 1",596,3.75,5,3,8.0,9,7,8.0,9.0,7.0,7.75,8.5,7.0
Tm5b,720575940627415571,14,6,"2, 2, 2",597,4.333,5,4,-9.0,-8,-10,-9.0,-8.0,-10.0,-0.167,0.0,-0.5
Tm5b,720575940635819256,18,4,"1, 1, 1, 1",598,10.5,11,10,-4.0,-3,-5,-4.0,-3.0,-5.0,8.5,9.0,8.0
Tm5b,720575940612158306,15,4,"3, 1",602,5.0,5,5,-7.75,-7,-8,-7.75,-7.0,-8.0,1.125,1.5,1.0
Tm5b,720575940622379760,15,6,"4, 1, 1",606,8.5,9,7,1.5,3,1,1.5,3.0,1.0,9.25,9.5,8.5
Tm5b,720575940634637025,7,2,2,618,-13.0,-13,-13,2.0,2,2,2.0,2.0,2.0,-12.0,-12.0,-12.0
Tm5b,720575940623930829,3,2,"1, 1",630,0.0,0,0,-8.5,-8,-9,-8.5,-8.0,-9.0,-4.25,-4.0,-4.5
Tm5b,720575940639872600,7,2,2,631,-12.0,-12,-12,-2.0,-2,-2,-2.0,-2.0,-2.0,-13.0,-13.0,-13.0
Tm5b,720575940630650998,16,3,"2, 1",637,14.0,14,14,-7.333,-7,-8,-7.333,-7.0,-8.0,10.333,10.5,10.0
Tm5b,720575940633131731,23,6,"2, 2, 1, 1",640,7.0,8,6,2.5,4,1,2.5,4.0,1.0,8.25,8.5,8.0
Tm5b,720575940624247805,7,2,"1, 1",641,-5.5,-5,-6,15.5,16,15,15.5,16.0,15.0,2.25,2.5,2.0
Tm5b,720575940608596747,10,4,"1, 1, 1, 1",645,-16.25,-15,-17,6.75,9,5,6.75,9.0,5.0,-12.875,-12.0,-13.5
Tm5b,720575940621566555,13,2,"1, 1",649,-3.5,-3,-4,1.5,2,1,1.5,2.0,1.0,-2.75,-2.5,-3.0
Tm5b,720575940615250399,13,2,"1, 1",652,1.0,2,0,10.5,11,10,10.5,11.0,10.0,6.25,7.0,5.5
Tm5b,720575940636260215,9,1,1,656,6.0,6,6,-1.0,-1,-1,-1.0,-1.0,-1.0,5.5,5.5,5.5
Tm5b,720575940630376187,17,4,"2, 1, 1",662,3.25,4,3,-4.75,-4,-6,-4.75,-4.0,-6.0,0.875,1.0,0.5
Tm5b,720575940630087183,14,6,"3, 2, 1",668,-7.667,-7,-8,-2.833,-2,-3,-2.833,-2.0,-3.0,-9.083,-8.5,-9.5
Tm5b,720575940628144124,14,1,1,669,12.0,12,12,-8.0,-8,-8,-8.0,-8.0,-8.0,8.0,8.0,8.0
Tm5b,720575940610944098,19,5,"2, 2, 1",678,7.2,8,6,-7.2,-6,-8,-7.2,-6.0,-8.0,3.6,4.0,3.0
Tm5b,720575940628681237,10,5,"2, 1, 1, 1",679,-5.0,-4,-6,-8.4,-8,-9,-8.4,-8.0,-9.0,-9.2,-8.5,-10.0
Tm5b,720575940621417455,22,6,"3, 1, 1, 1",685,-0.333,1,-2,9.167,10,8,9.167,10.0,8.0,4.25,5.0,3.0
Tm5b,720575940630119468,7,2,"1, 1",690,-4.5,-4,-5,12.5,13,12,12.5,13.0,12.0,1.75,2.0,1.5
Tm5b,720575940615834162,8,3,"2, 1",696,-10.0,-10,-10,4.333,5,4,4.333,5.0,4.0,-7.833,-7.5,-8.0
Tm5b,720575940635061529,10,2,"1, 1",697,11.5,12,11,-2.0,-2,-2,-2.0,-2.0,-2.0,10.5,11.0,10.0
Tm5b,720575940612784754,18,7,"3, 3, 1",703,-2.571,-2,-3,4.714,6,4,4.714,6.0,4.0,-0.214,0.0,-0.5
Tm5b,720575940642633357,5,2,2,704,-11.0,-11,-11,14.0,14,14,14.0,14.0,14.0,-4.0,-4.0,-4.0
Tm5b,720575940610449347,7,4,"2, 1, 1",711,-10.0,-9,-11,0.75,1,0,0.75,1.0,0.0,-9.625,-9.0,-10.5
Tm5b,720575940610797688,12,7,"3, 2, 1, 1",713,-14.0,-13,-15,11.571,12,11,11.571,12.0,11.0,-8.214,-7.5,-9.5
Tm5b,720575940625502797,10,3,"2, 1",717,13.0,13,13,-4.333,-4,-5,-4.333,-4.0,-5.0,10.833,11.0,10.5
Tm5b,720575940617419659,9,2,"1, 1",721,-0.5,0,-1,-11.5,-11,-12,-11.5,-11.0,-12.0,-6.25,-6.0,-6.5
Tm5b,720575940618012121,12,4,"3, 1",721,-1.25,-1,-2,-11.0,-11,-11,-11.0,-11.0,-11.0,-6.75,-6.5,-7.5
Tm5b,720575940631237079,4,2,2,724,3.0,3,3,-8.0,-8,-8,-8.0,-8.0,-8.0,-1.0,-1.0,-1.0
Tm5b,720575940617010956,12,4,"3, 1",730,7.0,7,7,-14.25,-14,-15,-14.25,-14.0,-15.0,-0.125,0.0,-0.5
Tm5b,720575940635024575,11,4,"2, 2",731,-10.5,-10,-11,11.5,12,11,11.5,12.0,11.0,-4.75,-4.5,-5.0
Tm5b,720575940627161372,9,3,"2, 1",734,2.333,3,2,-4.333,-4,-5,-4.333,-4.0,-5.0,0.167,0.5,0.0
Tm5b,720575940615421382,7,4,"3, 1",736,-8.0,-8,-8,14.75,15,14,14.75,15.0,14.0,-0.625,-0.5,-1.0
Tm5b,720575940634248628,7,3,"1, 1, 1",739,-8.333,-8,-9,14.333,16,13,14.333,16.0,13.0,-1.167,-1.0,-1.5
Tm5b,720575940610225521,12,3,"1, 1, 1",742,-9.0,-8,-10,7.333,8,7,7.333,8.0,7.0,-5.333,-4.5,-6.0
Tm5b,720575940610539384,7,2,"1, 1",748,-14.5,-14,-15,8.0,8,8,8.0,8.0,8.0,-10.5,-10.0,-11.0
Tm5b,720575940613500591,11,3,"1, 1, 1",754,6.333,7,6,0.667,1,0,0.667,1.0,0.0,6.667,7.5,6.0
